,land,barr,mort,mcrun,A,He,Ho,Fis,Dps,Gst,Gstp,Djost
1,pan0,0,0,0,8.9,0.660524531,0.65775,0.004181081,0.107949438,-0.000108993,0.000695182,0.000287224
2,pan0,0,0,1,9.1,0.692406406,0.6895,0.004469395,0.104368132,0.000252435,0.001001226,0.000661277
3,pan0,0,0,2,8.8,0.703839453,0.71575,-0.016468023,0.109957386,-0.000260539,0.000636873,0.000262802
4,pan0,0,0,3,8.8,0.752769531,0.759125,-0.00727411,0.108579545,3.32E-05,0.001398319,0.000561421
5,pan0,0,0,4,9.1,0.698202266,0.700375,-0.003917557,0.105728022,-0.000121082,0.001625121,0.000429361
6,pan0,0,0,5,9,0.758834375,0.760375,-0.002450963,0.106611111,-6.96E-05,0.001534079,0.000345374
7,pan0,0,0,6,8.6,0.713964688,0.722875,-0.01204061,0.11127907,0.000146269,0.001494676,0.000309694
8,pan0,0,0,7,9.4,0.692254922,0.695375,-0.004811935,0.101808511,1.96E-05,0.003502749,0.000393891
9,pan0,0,0,8,9.2,0.73819375,0.741125,-0.004078023,0.103342391,0.000233124,0.001335717,0.000690602
10,pan0,0,0,9,9.2,0.6712275,0.67225,4.66E-05,0.103682065,4.85E-05,0.001048632,0.000551291
11,pan0,0,25,0,9,0.635654609,0.620125,0.024738166,0.106875,-2.82E-05,0.001159288,0.000195449
12,pan0,0,25,1,8.7,0.696567031,0.692625,0.003061585,0.110172414,-2.22E-05,0.001336587,0.000473788
13,pan0,0,25,2,8.6,0.683984219,0.67125,0.018016452,0.11181686,-0.00013607,0.003191132,0.000252388
14,pan0,0,25,3,8.9,0.671186875,0.672875,-0.004286002,0.108342697,-0.000166782,0.00084916,0.000189295
15,pan0,0,25,4,9.4,0.726304219,0.716625,0.013785231,0.100904255,0.000281383,0.000936475,0.000818444
16,pan0,0,25,5,8.2,0.632561016,0.636125,-0.007229219,0.118064024,-0.000182375,0.00029958,0.000190494
17,pan0,0,25,6,8.8,0.680865469,0.688125,-0.00958574,0.110127841,-0.000327975,NA,0.000267343
18,pan0,0,25,7,8.9,0.727593594,0.73825,-0.015439663,0.107162921,8.48E-05,0.001300123,0.000622472
19,pan0,0,25,8,8.9,0.679583984,0.678875,0.000957158,0.107851124,0.000103571,0.00126391,0.000311779
20,pan0,0,25,9,8.4,0.632422578,0.63625,-0.004118026,0.114419643,-4.61E-05,0.00018628,0.000344263
21,pan0,750,0,0,9.1,0.719329375,0.7255,-0.008044093,0.104519231,0.0001353,0.001006526,0.00044876
22,pan0,750,0,1,8.5,0.673053906,0.674625,-0.00225946,0.112838235,-5.08E-05,5.88E-05,0.000414159
23,pan0,750,0,2,9.5,0.720411406,0.7335,-0.017878995,0.100986842,-0.000134352,0.000853438,0.000350827
24,pan0,750,0,3,8.5,0.704139063,0.70675,-0.004216722,0.113441176,-0.000204664,0.001013454,0.000241764
25,pan0,750,0,4,9,0.666438672,0.659,0.011236509,0.106458333,-3.94E-05,0.00084838,0.000360997
26,pan0,750,0,5,8.9,0.699362813,0.69925,-0.002224298,0.107022472,9.98E-05,0.001937079,0.000183286
27,pan0,750,0,6,9,0.738472422,0.743125,-0.00746028,0.106430556,-8.87E-05,0.001613341,0.000311768
28,pan0,750,0,7,9.1,0.691660156,0.69775,-0.00919437,0.105384615,3.06E-05,0.006990736,0.000385786
29,pan0,750,0,8,8.9,0.665383125,0.663875,-0.000224807,0.107682584,7.56E-05,0.001804001,0.000147113
30,pan0,750,0,9,9.2,0.751091094,0.746625,0.008554977,0.104470109,-0.00019872,0.003837294,0.000401034
31,pan0,750,25,0,8.8,0.633669453,0.6355,-0.00449178,0.109247159,0.000106088,0.001798737,0.000429191
32,pan0,750,25,1,8.7,0.714515078,0.7185,-0.007515957,0.109899425,4.45E-05,0.000517211,0.000419872
33,pan0,750,25,2,8.7,0.737865156,0.73875,0.000120836,0.109497126,9.63E-05,0.001485889,0.000588936
34,pan0,750,25,3,8.5,0.654165938,0.64325,0.018503179,0.111852941,0.00028297,0.000146572,0.000640376
35,pan0,750,25,4,8.5,0.668964453,0.677375,-0.013341662,0.112852941,-1.17E-05,0.000921713,0.00018263
36,pan0,750,25,5,8.8,0.682166875,0.680625,0.001222388,0.108821023,2.51E-05,0.001112979,0.000494053
37,pan0,750,25,6,9,0.705846797,0.707875,-0.001518578,0.105375,0.000424213,0.005319455,0.000355338
38,pan0,750,25,7,8.6,0.667631172,0.674875,-0.010173698,0.111555233,2.84E-05,0.002987634,0.000191233
39,pan0,750,25,8,8.8,0.663362422,0.663875,-0.001280483,0.109176136,-8.39E-06,0.000922211,0.000341376
40,pan0,750,25,9,8.8,0.717231484,0.72025,-0.003880195,0.109133523,-9.22E-05,0.000663154,0.000462888
41,pan0,1500,0,0,9,0.682922813,0.682875,0.000241691,0.106069444,6.83E-05,0.001054487,0.000421031
42,pan0,1500,0,1,9.4,0.750179531,0.749,0.001829647,0.101023936,0.000106101,0.002844604,0.000550665
43,pan0,1500,0,2,8.5,0.667232813,0.654875,0.018918213,0.112852941,-4.23E-05,0.000392748,0.000419792
44,pan0,1500,0,3,9.4,0.674887891,0.68025,-0.007952578,0.100864362,0.000257974,0.001635613,0.000702434
45,pan0,1500,0,4,9.1,0.757386875,0.76375,-0.008761839,0.105315934,-1.78E-05,7.68E-06,0.000368079
46,pan0,1500,0,5,9.2,0.703534453,0.701375,0.002837965,0.103586957,2.26E-05,3.27E-05,0.000476085
47,pan0,1500,0,6,9.3,0.709159531,0.70675,0.003516744,0.103225806,-0.000168865,0.001638233,0.000298613
48,pan0,1500,0,7,8.8,0.689407813,0.691,-0.002677485,0.108380682,4.00E-05,5.05E-05,0.000561471
49,pan0,1500,0,8,8.8,0.714571328,0.71475,-0.000413914,0.109105114,-8.52E-05,0.000282325,0.000479794
50,pan0,1500,0,9,9,0.683057266,0.691,-0.010934519,0.105666667,0.00024169,0.001828648,0.00040564
51,pan0,1500,25,0,8.8,0.734011406,0.73225,0.003338626,0.107798295,0.000322951,0.00319966,0.000613867
52,pan0,1500,25,1,8.8,0.678145781,0.6835,-0.005828394,0.108650568,3.59E-05,0.002788656,0.000378946
53,pan0,1500,25,2,8.8,0.700362656,0.6965,0.004589823,0.1084375,0.00027749,0.001072426,0.000402469
54,pan0,1500,25,3,8.7,0.692372188,0.691125,0.002896678,0.110761494,-0.000158473,0.000707311,0.000275678
55,pan0,1500,25,4,8.6,0.70055,0.701875,-0.00351512,0.111075581,5.24E-05,0.000301509,0.000435225
56,pan0,1500,25,5,9.2,0.648918125,0.65375,-0.007770814,0.103641304,0.0002241,0.000655261,0.000405691
57,pan0,1500,25,6,8.7,0.680962188,0.683125,-0.002105078,0.110215517,1.18E-05,7.60E-05,0.000292659
58,pan0,1500,25,7,9.1,0.758051797,0.753375,0.006143478,0.104271978,0.000142511,0.000243007,0.000771398
59,pan0,1500,25,8,8.4,0.684811797,0.692,-0.011050438,0.112693452,0.000622557,0.003525947,0.000412953
60,pan0,1500,25,9,9.4,0.700260781,0.6895,0.016590758,0.101462766,5.52E-05,9.66E-05,0.000578183
61,pan0,1500,50,0,8.8,0.705042014,0.707402032,-0.002858371,0.09234375,0.000539402,0.000781619,9.39E-05
62,pan0,1500,50,1,5,0.661427083,0.674166667,-0.029403425,0.019375,0.005868943,0.019953456,-0.009023022
63,pan0,1500,50,2,2.2,0.310277778,0.286666667,NA,0.013920455,0.034245178,0.028551326,0
64,pan0,1500,50,3,7.7,0.601933427,0.608809892,-0.016852236,0.099886364,0.000762238,0.000776416,0.00028379
65,pan0,1500,50,4,7.1,0.66047472,0.634745763,0.03403911,0.056478873,0.002633674,0.003029389,0.000224177
66,pan0,1500,50,5,8.2,0.653426771,0.653243243,0.000550498,0.107530488,0.000154977,0.000007655,0.000630381
67,pan0,1500,50,6,8.6,0.676849301,0.679258242,-0.005451055,0.100726744,0.000373997,0.00208221,0.000611867
68,pan0,1500,50,7,8.2,0.656052734,0.66525,-0.01476775,0.117210366,-1.22E-05,0.000664227,0.000126787
69,pan0,2250,0,0,9.1,0.717122656,0.726125,-0.011926594,0.103928571,0.000354654,0.000946951,0.000550324
70,pan0,2250,0,1,8.7,0.706294609,0.7015,0.006877815,0.108204023,0.000747421,0.000555866,0.001066966
71,pan0,2250,0,2,9,0.706623672,0.71525,-0.011983071,0.105444444,0.000219627,0.000705639,0.00078013
72,pan0,2250,0,3,8.7,0.692419688,0.6925,0.000482793,0.109554598,0.000147262,0.002093332,0.000520905
73,pan0,2250,0,4,9,0.72051625,0.71825,0.001073662,0.105361111,0.000216454,0.003042737,0.000720617
74,pan0,2250,0,5,9.4,0.719584453,0.718,0.00299422,0.100199468,0.000550961,0.002690719,0.000571468
75,pan0,2250,0,6,9,0.638906563,0.63925,-0.000709857,0.105722222,0.000174804,0.000113423,0.000355229
