"","land","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"1","ibd1",8.9,0.7117404245,0.629,0.0961290055,0.0651000805,0.071630547,0.177278806,0.0357167925
"2","ibr20",8.9,0.71191053,0.6,0.146275462,0.0574444445,0.098146146,0.2497265535,0.049449694
"3","ibr21",8.9,0.7131560805,0.6063822055,0.131024033,0.0610418905,0.084480065,0.1943596335,0.039680318
"4","ibr22",8.8,0.711108935,0.6072712265,0.1274906435,0.0575241105,0.0857409555,0.207476639,0.0428108575
"5","ibr23",8.9,0.7138756485,0.5801129235,0.1907436615,0.0511264535,0.118024591,0.305244115,0.0607751555
"6","ibr24",8.8,0.709675595,0.5991173525,0.1302944325,0.063097532,0.0769927515,0.2115318785,0.0439661235
"7","ibr25",8.8,0.705264114,0.6055310355,0.111956803,0.0664963235,0.073318156,0.184532445,0.036016882
"8","ibr26",8.9,0.7104574415,0.6055725505,0.1419814175,0.055854302,0.0890750935,0.217097252,0.0453705825
"9","ibr27",8.9,0.708977192,0.6112568835,0.122878222,0.0647093025,0.065362399,0.192433156,0.0387327155
"10","ibr28",8.8,0.713717958,0.603946608,0.1398923935,0.059077212,0.0839783935,0.2228544605,0.0452464815
"11","ibr29",8.9,0.712879983,0.6073538285,0.1384868125,0.0577548235,0.089888,0.207229393,0.041415261
"12","ibr40",8.1,0.675996683,0.53765307,0.190891182,0.043639034,0.1424211355,0.286433611,0.046620745
"13","ibr41",8.2,0.6719352655,0.5414383695,0.158232313,0.0517220205,0.0925965325,0.192449414,0.033853231
"14","ibr42",8.3,0.681990419,0.553117887,0.1631365175,0.0519207315,0.099474362,0.207275512,0.038374551
"15","ibr43",7,0.637741402,0.424860802,0.3277224085,0.017411152,0.3320197685,0.686040542,0.1332186425
"16","ibr44",8.4,0.687446184,0.51946602,0.2373842145,0.0498824405,0.1154235915,0.2793573625,0.053798889
"17","ibr45",8.3,0.679143672,0.573150807,0.130660683,0.0523765215,0.0812147715,0.1865052515,0.034241362
"18","ibr46",8.2,0.6760818075,0.551491179,0.159990118,0.0469232255,0.103087817,0.226192364,0.037012185
"19","ibr47",8.2,0.6771814005,0.587856752,0.098725931,0.051878289,0.0690815005,0.167368077,0.0272823535
"20","ibr48",8.2,0.682829452,0.517918172,0.222081865,0.047399185,0.094363881,0.2501255835,0.040820429
"21","ibr49",8.2,0.6783681855,0.5153475085,0.2297761285,0.043459675,0.140868975,0.295259243,0.0574367885
"22","pan0",8.8,0.700260781,0.668625,0.0028673215,0.104271978,0.000373997,0.002348427,0.000622472
