"","land","(Intercept)","barr","mort"
"1","pan0",3.14124473030374e-62,0.856827487173168,0.0509929211948513
"2","ibd1",3.21107376935802e-131,0.679162457207637,0.651870958809299
"3","ibr20",1.21621653633846e-126,0.476045568732883,0.66005994917209
"4","ibr21",1.20649818196743e-131,0.522111395750464,0.0209143852887758
"5","ibr22",2.87605900546123e-128,0.172917321451029,0.11893594257795
"6","ibr23",1.2337754234523e-128,0.779520063186101,0.0969135225357209
"7","ibr24",1.75933374641752e-129,0.859845871287233,0.330182555188474
"8","ibr25",1.24355453538894e-132,0.456660013496607,0.250688954613486
"9","ibr26",4.63192045028983e-128,0.765303276556581,0.730338762527034
"10","ibr27",1.02345530435751e-129,0.816844728869089,0.0103878399998482
"11","ibr28",1.98467267828467e-125,0.831091734998403,0.117433450223187
"12","ibr29",2.52914098111193e-124,0.507087025557453,0.100958894596244
"13","ibr40",4.98679066396054e-117,0.848011665567568,0.623015295807505
"14","ibr41",3.49421147337186e-118,0.0242886409800098,0.000295076254525518
"15","ibr42",5.96723860385233e-119,0.322353066289083,0.209311753651979
"16","ibr43",2.42775113343467e-112,0.377476434843305,0.372328770359447
"17","ibr44",7.37017587593659e-118,0.614071081160706,0.000300091850120784
"18","ibr45",1.06165248234898e-118,0.0736450767879756,0.0729930845801767
"19","ibr46",3.22067322633678e-112,0.692366331244746,0.431478013887035
"20","ibr47",4.44662676092396e-125,0.787263266972442,0.00314859243308901
"21","ibr48",1.02399745699007e-116,0.79078495873743,0.015562237766653
"22","ibr49",4.29623993021156e-121,0.415804341422492,0.00581765468699142
