"","land","(Intercept)","barr","mort"
"1","pan0",0.010979098729113,4.77439842306912e-10,0.0360072247764854
"2","ibd1",2.20111831005706e-35,4.70570276155633e-18,4.31033486795125e-19
"3","ibr20",4.00186347281093e-52,3.79928942604462e-23,4.29736204293503e-22
"4","ibr21",3.95850614322768e-50,8.73490596845405e-22,5.49916279387125e-19
"5","ibr22",4.80947252602973e-51,1.60224392531028e-21,3.06728718680109e-20
"6","ibr23",2.22401171599497e-61,1.86063351364737e-23,6.20830597939939e-20
"7","ibr24",2.39097856177062e-53,1.7118855172766e-22,1.09381280667668e-20
"8","ibr25",5.66432417190365e-43,7.25566577118417e-19,1.40581664693749e-17
"9","ibr26",1.72100844288996e-52,2.96769797941566e-22,3.48686272982572e-19
"10","ibr27",9.31765764926687e-43,5.09055192004119e-18,1.35420890736945e-18
"11","ibr28",1.2698224258224e-51,1.65849883596949e-21,2.36593746638534e-21
"12","ibr29",2.33980408585356e-51,5.73973121973687e-23,1.01181566898879e-18
"13","ibr40",5.45295811638454e-57,2.9457255239091e-21,1.87424637207428e-17
"14","ibr41",1.91829209998619e-48,4.14673237179228e-19,8.08575980146725e-18
"15","ibr42",1.28556631476203e-50,6.08491016609112e-19,2.400286631876e-15
"16","ibr43",3.90680797720642e-70,0.872797433343094,0.320029072655315
"17","ibr44",1.18452119313844e-63,7.63270550424023e-13,3.53038211103791e-13
"18","ibr45",1.94374902542373e-38,2.03878784916905e-18,2.55627255727447e-17
"19","ibr46",7.02345149683044e-49,1.86177962090224e-19,6.85155595230208e-21
"20","ibr47",3.95040766321158e-32,5.29096967830857e-18,3.12386029644524e-17
"21","ibr48",3.86302186554623e-60,2.94636001899986e-21,3.74920440629238e-19
"22","ibr49",2.1899162106224e-66,6.70748909451049e-18,8.06770498136492e-19
