,land,predictor,coefficient,SE,t_val,p_val,adj_r2,,
1,pan0,(Intercept),0.081075395,0.043714074,1.854674866,0.068910423,0.370454288,,
2,pan0,barr,0.096007034,0.016576908,5.791612896,3.30977E-07,0.370454288,0.002,0.084
3,pan0,mort,0.094406544,0.067808801,1.392246165,0.169352181,0.370454288,,
4,ibd1,(Intercept),0.154996061,0.012259573,12.64285945,2.10E-21,0.54733616,,
5,ibd1,barr,0.14299977,0.015207528,9.403222816,6.71E-15,0.54733616,0.004,0.030
6,ibd1,mort,0.139168587,0.015038414,9.254206173,1.35E-14,0.54733616,,
7,ibr20,(Intercept),0.22897285,0.01308093,17.50432456,3.00E-30,0.624188421,,
8,ibr20,barr,0.176719045,0.016226389,10.89084215,6.29E-18,0.624188421,0.001,0.032
9,ibr20,mort,0.175289496,0.016045946,10.92422324,5.38E-18,0.624188421,,
10,ibr21,(Intercept),0.207013183,0.013233848,15.64270512,5.16E-27,0.605057076,,
11,ibr21,barr,0.18310651,0.016416078,11.15409603,1.86E-18,0.605057076,0.028,0.033
12,ibr21,mort,0.155518114,0.016233525,9.580058064,2.92E-15,0.605057076,,
13,ibr22,(Intercept),0.184288544,0.010674084,17.26504575,7.63E-30,0.626115024,,
14,ibr22,barr,0.153868989,0.013240789,11.62083238,2.16E-19,0.626115024,0.022,0.026
15,ibr22,mort,0.131855656,0.013093547,10.0702781,2.91E-16,0.626115024,,
16,ibr23,(Intercept),0.23503899,0.010504559,22.37495022,7.55E-38,0.636431622,,
17,ibr23,barr,0.149195523,0.0130305,11.44971551,4.74E-19,0.636431622,0.009,0.026
18,ibr23,mort,0.140630504,0.012885597,10.91377525,5.65E-18,0.636431622,,
19,ibr24,(Intercept),0.210896844,0.012806812,16.46755246,1.80E-28,0.626093148,,
20,ibr24,barr,0.168800838,0.015886356,10.62552295,2.16E-17,0.626093148,-0.008,0.032
21,ibr24,mort,0.176633969,0.015709694,11.24362903,1.23E-18,0.626093148,,
22,ibr25,(Intercept),0.153776411,0.010780829,14.26387563,1.70E-24,0.565941489,,
23,ibr25,barr,0.14276035,0.013373203,10.6751053,1.72E-17,0.565941489,0.038,0.027
24,ibr25,mort,0.104654224,0.013224488,7.913669168,7.41E-12,0.565941489,,
25,ibr26,(Intercept),0.187188602,0.01071498,17.46980383,3.43E-30,0.607783678,,
26,ibr26,barr,0.153548607,0.013291519,11.55237424,2.96E-19,0.607783678,0.037,0.026
27,ibr26,mort,0.116330322,0.013143713,8.850643835,9.08E-14,0.607783678,,
28,ibr27,(Intercept),0.174956698,0.013159803,13.29478131,1.16E-22,0.594756301,,
29,ibr27,barr,0.175085078,0.016324227,10.72547409,1.36E-17,0.594756301,0.018,0.032
30,ibr27,mort,0.156589223,0.016142696,9.700314094,1.65E-15,0.594756301,,
31,ibr28,(Intercept),0.186928883,0.011672175,16.01491491,1.12E-27,0.617750254,,
32,ibr28,barr,0.161178072,0.014478882,11.1319416,2.06E-18,0.617750254,0.013,0.029
33,ibr28,mort,0.147956508,0.014317872,10.33369412,8.45E-17,0.617750254,,
34,ibr29,(Intercept),0.18617088,0.012925535,14.40334,9.37E-25,0.486008375,,
35,ibr29,barr,0.13731922,0.016033628,8.564450971,3.50E-13,0.486008375,0.012,0.032
36,ibr29,mort,0.125759802,0.015855328,7.931706036,6.81E-12,0.486008375,,
37,ibr40,(Intercept),0.241423405,0.015852137,15.22970674,2.86E-26,0.373499838,,
38,ibr40,barr,0.142734047,0.019663965,7.258660588,1.55E-10,0.373499838,0.035,0.039
39,ibr40,mort,0.107240614,0.019445294,5.514990497,3.52646E-07,0.373499838,,
40,ibr41,(Intercept),0.198133437,0.014016414,14.13581559,2.95E-24,0.504277023,,
41,ibr41,barr,0.159412432,0.01738682,9.168578871,2.03E-14,0.504277023,0.026,0.035
42,ibr41,mort,0.133201933,0.017193472,7.747238565,1.61E-11,0.504277023,,
43,ibr42,(Intercept),0.187173282,0.014015107,13.35510919,8.85E-23,0.475011169,,
44,ibr42,barr,0.151945221,0.017385199,8.7399183,1.53E-13,0.475011169,0.029,0.035
45,ibr42,mort,0.122839103,0.01719187,7.14518585,2.61E-10,0.475011169,,
46,ibr43,(Intercept),0.642534461,0.022397927,28.68722848,4.02E-46,-0.017515595,,
47,ibr43,barr,-0.018359934,0.027783765,-0.660815215,0.510476897,-0.017515595,-0.004,0.055
48,ibr43,mort,-0.014608854,0.027474799,-0.531718325,0.596276225,-0.017515595,,
