"","land","(Intercept)","barr","mort"
"1","pan0",0.0689104225589832,0.000000330976942478747,0.169352181181379
"2","ibd1",2.09674520300897e-21,6.70809943479126e-15,1.3543696038006e-14
"3","ibr20",3.00301125346744e-30,6.28790849116675e-18,5.38486594840053e-18
"4","ibr21",5.15536800226678e-27,1.85565763585425e-18,2.91531958950882e-15
"5","ibr22",7.63238514272905e-30,2.16189829464932e-19,2.90647606473349e-16
"6","ibr23",7.54530475163597e-38,4.7445375431501e-19,5.65256041798996e-18
"7","ibr24",1.8008056244964e-28,2.16208681757448e-17,1.226808903677e-18
"8","ibr25",1.70265419727267e-24,1.71585723543868e-17,7.40934550758216e-12
"9","ibr26",3.43406699062576e-30,2.95982085829235e-19,9.08279528371887e-14
"10","ibr27",1.15506550667009e-22,1.3569652059991e-17,1.65478205902386e-15
"11","ibr28",1.12260917818363e-27,2.0559468940374e-18,8.45443208516012e-17
"12","ibr29",9.36791420949445e-25,3.49755876684086e-13,6.81056846504302e-12
"13","ibr40",2.85625945787921e-26,1.54731859847473e-10,0.000000352646118031678
"14","ibr41",2.9533180941564e-24,2.02819374961858e-14,1.61032012601994e-11
"15","ibr42",8.85468380434754e-23,1.53059602476147e-13,2.60605706400324e-10
"16","ibr43",4.01714942193002e-46,0.510476897038982,0.596276224577566
"17","ibr44",5.85062060995756e-31,4.39869439723263e-10,1.32908858100746e-10
"18","ibr45",1.07733161584083e-18,3.07367350983262e-14,2.63205849091254e-11
"19","ibr46",3.92455515426897e-23,1.12736943555927e-11,8.52666818132668e-14
"20","ibr47",1.53759698883293e-18,2.7591660767966e-13,6.497647595777e-11
"21","ibr48",2.47344387193079e-22,1.11133622133867e-12,1.60214800342043e-13
"22","ibr49",2.24661200790351e-30,1.16475468269071e-08,1.42476672881307e-09
