,land,predictor,coefficient,SE,t_val,p_val,adj_r2,diff,se+se
1,pan0,(Intercept),0.675,0.012,58.458,0.000,0.075,,
2,pan0,barr,0.000,0.005,0.087,0.931,0.075,0.0234,0.0085
3,pan0,mort,-0.040,0.018,-2.208,0.031,0.075,,
4,ibd1,(Intercept),0.708,0.003,228.099,0.000,-0.008,,
5,ibd1,barr,0.004,0.004,1.000,0.320,-0.008,-0.0031,0.0010
6,ibd1,mort,0.004,0.004,1.023,0.309,-0.008,,
7,ibr20,(Intercept),0.707,0.003,217.358,0.000,0.053,,
8,ibr20,barr,0.008,0.004,1.888,0.062,0.053,-0.0021,0.0007
9,ibr20,mort,0.010,0.004,2.602,0.011,0.053,,
10,ibr21,(Intercept),0.711,0.003,219.819,0.000,-0.001,,
11,ibr21,barr,0.005,0.004,1.177,0.242,-0.001,-0.0028,0.0009
12,ibr21,mort,0.000,0.004,0.123,0.902,-0.001,,
13,ibr22,(Intercept),0.705,0.003,216.682,0.000,0.016,,
14,ibr22,barr,0.003,0.004,0.825,0.412,0.016,-0.0024,0.0008
15,ibr22,mort,-0.003,0.004,-0.863,0.391,0.016,,
16,ibr23,(Intercept),0.709,0.003,205.528,0.000,0.014,,
17,ibr23,barr,0.008,0.004,1.810,0.074,0.014,-0.0016,0.0005
18,ibr23,mort,0.005,0.004,1.109,0.270,0.014,,
19,ibr24,(Intercept),0.705,0.003,208.813,0.000,0.010,,
20,ibr24,barr,0.002,0.004,0.582,0.562,0.010,-0.0028,0.0009
21,ibr24,mort,0.007,0.004,1.631,0.106,0.010,,
22,ibr25,(Intercept),0.697,0.004,193.214,0.000,0.010,,
23,ibr25,barr,0.001,0.004,0.122,0.903,0.010,-0.0030,0.0010
24,ibr25,mort,-0.006,0.004,-1.296,0.198,0.010,,
25,ibr26,(Intercept),0.706,0.004,200.140,0.000,0.017,,
26,ibr26,barr,0.001,0.004,0.331,0.741,0.017,-0.0026,0.0009
27,ibr26,mort,-0.006,0.004,-1.302,0.196,0.017,,
28,ibr27,(Intercept),0.702,0.003,201.360,0.000,0.047,,
29,ibr27,barr,0.010,0.004,2.365,0.020,0.047,-0.0031,0.0010
30,ibr27,mort,0.003,0.004,0.667,0.506,0.047,,
31,ibr28,(Intercept),0.708,0.003,258.533,0.000,0.060,,
32,ibr28,barr,0.006,0.003,1.821,0.072,0.060,-0.0024,0.0008
33,ibr28,mort,-0.002,0.003,-0.614,0.541,0.060,,
34,ibr29,(Intercept),0.702,0.004,200.294,0.000,-0.014,,
35,ibr29,barr,0.000,0.004,0.031,0.976,-0.014,-0.0022,0.0007
36,ibr29,mort,-0.003,0.004,-0.690,0.492,-0.014,,
37,ibr40,(Intercept),0.665,0.004,153.784,0.000,-0.010,,
38,ibr40,barr,0.002,0.005,0.382,0.703,-0.010,-0.0014,0.0005
39,ibr40,mort,-0.003,0.005,-0.587,0.559,-0.010,,
40,ibr41,(Intercept),0.663,0.004,149.860,0.000,0.021,,
41,ibr41,barr,0.005,0.005,0.992,0.324,0.021,-0.0033,0.0011
42,ibr41,mort,-0.004,0.005,-0.793,0.430,0.021,,
43,ibr42,(Intercept),0.671,0.004,172.231,0.000,0.017,,
44,ibr42,barr,0.009,0.005,1.884,0.063,0.017,-0.0023,0.0008
45,ibr42,mort,0.005,0.005,0.973,0.333,0.017,,
46,ibr43,(Intercept),0.637,0.005,135.765,0.000,-0.004,,
47,ibr43,barr,-0.007,0.006,-1.169,0.245,-0.004,0.0000,0.0001
48,ibr43,mort,-0.006,0.006,-1.092,0.278,-0.004,,
49,ibr44,(Intercept),0.689,0.004,171.801,0.000,0.008,,
50,ibr44,barr,-0.002,0.005,-0.430,0.669,0.008,-0.0023,0.0009
51,ibr44,mort,-0.008,0.005,-1.542,0.127,0.008,,
52,ibr45,(Intercept),0.665,0.004,164.237,0.000,0.098,,
53,ibr45,barr,0.017,0.005,3.302,0.001,0.098,-0.0038,0.0013
54,ibr45,mort,0.006,0.005,1.258,0.212,0.098,,
55,ibr46,(Intercept),0.660,0.004,167.689,0.000,0.010,,
56,ibr46,barr,0.005,0.005,1.043,0.300,0.010,-0.0029,0.0009
57,ibr46,mort,-0.002,0.005,-0.467,0.642,0.010,,
58,ibr47,(Intercept),0.665,0.004,173.344,0.000,0.070,,
59,ibr47,barr,0.013,0.005,2.637,0.010,0.070,-0.0040,0.0013
60,ibr47,mort,0.002,0.005,0.485,0.629,0.070,,
61,ibr48,(Intercept),0.677,0.004,174.261,0.000,-0.018,,
62,ibr48,barr,0.002,0.005,0.446,0.657,-0.018,-0.0023,0.0008
63,ibr48,mort,0.003,0.005,0.657,0.513,-0.018,,
64,ibr49,(Intercept),0.672,0.004,175.227,0.000,-0.023,,
65,ibr49,barr,0.000,0.005,0.000,1.000,-0.023,-0.0018,0.0006
66,ibr49,mort,0.000,0.005,0.042,0.966,-0.023,,
