"","land","(Intercept)","barr","mort"
"1","pan0",1.42320435133009e-52,0.931136630649789,0.0312805530506946
"2","ibd1",1.29429667291309e-122,0.320117442839266,0.309352184725659
"3","ibr20",8.53783794363985e-121,0.0623516089360211,0.0108999617314974
"4","ibr21",3.211870831138e-121,0.24249072382844,0.90206589215087
"5","ibr22",1.11883595708815e-120,0.411753981092161,0.390581621177661
"6","ibr23",1.10122008841679e-118,0.0737915011001383,0.270446665858126
"7","ibr24",2.77852950057904e-119,0.561984408132294,0.106498788446656
"8","ibr25",2.35106884022143e-116,0.90289504063334,0.198479044372239
"9","ibr26",1.10497292688013e-117,0.741407905970168,0.196443386990354
"10","ibr27",6.52228840944112e-118,0.0202427774420291,0.506231493003088
"11","ibr28",2.43688506986191e-127,0.0720775828229528,0.541030611104468
"12","ibr29",1.03399830209668e-117,0.97559590687987,0.491795345003494
"13","ibr40",9.33758128109142e-108,0.703037464246761,0.558792288488642
"14","ibr41",8.77035015522479e-107,0.323784747305112,0.429684518095355
"15","ibr42",5.05360733354791e-112,0.0628407828504845,0.333418112605596
"16","ibr43",4.56441860983471e-103,0.245415731504315,0.277761720410064
"17","ibr44",6.27853673156692e-112,0.668532405963853,0.126741167644304
"18","ibr45",3.1182642376182e-110,0.00139271618008259,0.211817893871285
"19","ibr46",5.13363575403825e-111,0.300022903583823,0.641664268096589
"20","ibr47",2.88976897728842e-112,0.00989595123716948,0.628982072831662
"21","ibr48",1.82902463519405e-112,0.657042854961665,0.513219466601649
"22","ibr49",1.13225566019613e-112,0.999836585990088,0.966291411782816
