,land,predictor,coefficient,SE,t_val,p_val,adj_r2
1,pan0,(Intercept),0.645108679,0.015640683,41.24555681,3.86E-44,0.309466379
2,pan0,barr,-0.032914169,0.006212546,-5.298016551,1.96314E-06,0.309466379
3,pan0,mort,-0.078079629,0.024573839,-3.177347602,0.002400779,0.309466379
4,ibd1,(Intercept),0.645244736,0.003884918,166.089651,1.18E-110,0.470948739
5,ibd1,barr,-0.037901824,0.004819091,-7.864931583,9.30E-12,0.470948739
6,ibd1,mort,-0.039007763,0.004765501,-8.185448072,2.08E-12,0.470948739
7,ibr20,(Intercept),0.618885606,0.003887854,159.1843845,4.68E-109,0.416654325
8,ibr20,barr,-0.036763754,0.004822733,-7.62301314,2.87E-11,0.416654325
9,ibr20,mort,-0.03191762,0.004769102,-6.692584801,2.04E-09,0.416654325
10,ibr21,(Intercept),0.624520597,0.00381749,163.5945704,4.38E-110,0.473896003
11,ibr21,barr,-0.038467092,0.004735449,-8.123220081,2.78E-12,0.473896003
12,ibr21,mort,-0.03760938,0.004682789,-8.031406386,4.27E-12,0.473896003
13,ibr22,(Intercept),0.623532332,0.004151988,150.1768231,7.31E-107,0.427717115
14,ibr22,barr,-0.036387755,0.005150381,-7.065061404,3.76E-10,0.427717115
15,ibr22,mort,-0.038930882,0.005093107,-7.643838226,2.61E-11,0.427717115
16,ibr23,(Intercept),0.599185555,0.004101898,146.0752109,8.05E-106,0.37027204
17,ibr23,barr,-0.034841725,0.005088246,-6.847492736,1.01E-09,0.37027204
18,ibr23,mort,-0.031368143,0.005031663,-6.23415072,1.58E-08,0.37027204
19,ibr24,(Intercept),0.617889019,0.003465994,178.271817,2.54E-113,0.483473148
20,ibr24,barr,-0.037942121,0.004299432,-8.824915609,1.03E-13,0.483473148
21,ibr24,mort,-0.031439867,0.00425162,-7.394796412,8.26E-11,0.483473148
22,ibr25,(Intercept),0.62021618,0.004231462,146.5725445,6.00E-106,0.479625064
23,ibr25,barr,-0.040886264,0.005248966,-7.789394654,1.32E-11,0.479625064
24,ibr25,mort,-0.044069321,0.005190595,-8.490224944,4.96E-13,0.479625064
25,ibr26,(Intercept),0.619223804,0.004273677,144.8925289,1.63E-105,0.443985304
26,ibr26,barr,-0.039599762,0.005301331,-7.469777421,5.84E-11,0.443985304
27,ibr26,mort,-0.040653005,0.005242378,-7.754687691,1.56E-11,0.443985304
28,ibr27,(Intercept),0.623303201,0.00414849,150.2482166,7.01E-107,0.404833584
29,ibr27,barr,-0.032004684,0.005146042,-6.219282076,1.69E-08,0.404833584
30,ibr27,mort,-0.038718067,0.005088816,-7.608463057,3.07E-11,0.404833584
31,ibr28,(Intercept),0.617637557,0.003577142,172.6623115,4.07E-112,0.540935952
32,ibr28,barr,-0.036974769,0.004437306,-8.332706157,1.04E-12,0.540935952
33,ibr28,mort,-0.043220277,0.004387962,-9.849738695,8.19E-16,0.540935952
34,ibr29,(Intercept),0.611854784,0.004207398,145.4235742,1.19E-105,0.488296035
35,ibr29,barr,-0.045224736,0.005219114,-8.66521282,2.18E-13,0.488296035
36,ibr29,mort,-0.04067008,0.005161076,-7.880155387,8.66E-12,0.488296035
37,ibr40,(Intercept),0.556330647,0.004514782,123.2242575,2.01E-99,0.431373585
38,ibr40,barr,-0.042956325,0.005600413,-7.670206913,2.30E-11,0.431373585
39,ibr40,mort,-0.03962746,0.005538134,-7.155381078,2.49E-10,0.431373585
40,ibr41,(Intercept),0.560063878,0.004629374,120.9804787,9.84E-99,0.473193678
41,ibr41,barr,-0.043399596,0.00574256,-7.557534948,3.89E-11,0.473193678
42,ibr41,mort,-0.048126868,0.0056787,-8.474979138,5.33E-13,0.473193678
43,ibr42,(Intercept),0.56915577,0.004605362,123.5854644,1.56E-99,0.340846056
44,ibr42,barr,-0.036681958,0.005712774,-6.421041874,6.90E-09,0.340846056
45,ibr42,mort,-0.033243636,0.005649245,-5.884615203,7.28E-08,0.340846056
46,ibr43,(Intercept),0.420562659,0.004413014,95.30054093,8.72E-90,0.013705875
47,ibr43,barr,-0.007043558,0.005474174,-1.286688626,0.201616069,0.013705875
48,ibr43,mort,-0.009601953,0.005413299,-1.773771004,0.079600021,0.013705875
49,ibr44,(Intercept),0.5344936,0.004544509,117.613046,1.13E-97,0.393610403
50,ibr44,barr,-0.036050036,0.005637289,-6.394924721,7.76E-09,0.393610403
51,ibr44,mort,-0.040555927,0.0055746,-7.275127875,1.43E-10,0.393610403
52,ibr45,(Intercept),0.580499328,0.004649435,124.8537487,6.44E-100,0.407230059
53,ibr45,barr,-0.037282216,0.005767444,-6.464252603,5.69E-09,0.407230059
54,ibr45,mort,-0.043001026,0.005703308,-7.539664006,4.22E-11,0.407230059
55,ibr46,(Intercept),0.561696558,0.004632584,121.2490703,8.12E-99,0.481111081
56,ibr46,barr,-0.041915037,0.005746542,-7.2939579,1.32E-10,0.481111081
57,ibr46,mort,-0.050099448,0.005682639,-8.816229807,1.07E-13,0.481111081
58,ibr47,(Intercept),0.597366665,0.004787298,124.7815836,6.77E-100,0.415381289
59,ibr47,barr,-0.038308328,0.005938459,-6.45088724,6.04E-09,0.415381289
60,ibr47,mort,-0.045364889,0.005872421,-7.725074259,1.79E-11,0.415381289
61,ibr48,(Intercept),0.539066927,0.003378995,159.5347146,3.87E-109,0.639742403
62,ibr48,barr,-0.049587098,0.004191512,-11.83035945,8.29E-20,0.639742403
63,ibr48,mort,-0.043867801,0.004144901,-10.58355759,2.63E-17,0.639742403
64,ibr49,(Intercept),0.527229167,0.004098998,128.6239209,4.91E-101,0.445621596
65,ibr49,barr,-0.03820346,0.005084649,-7.513490798,4.77E-11,0.445621596
66,ibr49,mort,-0.03903115,0.005028105,-7.762595749,1.50E-11,0.445621596
