"","land","(Intercept)","barr","mort"
"1","pan0",3.86388412769184e-44,0.00000196313682315931,0.00240077912312104
"2","ibd1",1.17868382475369e-110,9.30274584860258e-12,2.07621376456676e-12
"3","ibr20",4.68442308219655e-109,2.86970573745891e-11,2.04344281429789e-09
"4","ibr21",4.38029289591102e-110,2.77950029247212e-12,4.27268242807887e-12
"5","ibr22",7.30545995750697e-107,3.76152758829155e-10,2.60506387589751e-11
"6","ibr23",8.05112173563734e-106,1.01377363711359e-09,1.58146633545668e-08
"7","ibr24",2.53957176843548e-113,1.02539338134573e-13,8.25995611973962e-11
"8","ibr25",5.9972080812028e-106,1.32317313802866e-11,4.95980022780498e-13
"9","ibr26",1.62843032491544e-105,5.83994217245171e-11,1.55541148755913e-11
"10","ibr27",7.01064316025981e-107,1.68866548414274e-08,3.07032111602818e-11
"11","ibr28",4.06818458095715e-112,1.04010699999636e-12,8.19208612793845e-16
"12","ibr29",1.18605186483084e-105,2.17625165677187e-13,8.66460815295121e-12
"13","ibr40",2.00783567270362e-99,2.3045538872875e-11,2.48699342758808e-10
"14","ibr41",9.84201217132514e-99,3.88889578228197e-11,5.32858524079443e-13
"15","ibr42",1.55867770103795e-99,6.90449744095038e-09,7.28181827010605e-08
"16","ibr43",8.72247564251966e-90,0.201616069161894,0.0796000205838716
"17","ibr44",1.13051578500805e-97,7.75597205222022e-09,1.43436810823825e-10
"18","ibr45",6.44347624119952e-100,5.69418660360266e-09,4.22489153083006e-11
"19","ibr46",8.12420819185381e-99,1.3152221424347e-10,1.06824547306308e-13
"20","ibr47",6.77400353461055e-100,6.04420839053902e-09,1.78537521329396e-11
"21","ibr48",3.87145632604211e-109,8.28764873089417e-20,2.62963942782931e-17
"22","ibr49",4.90971205329989e-101,4.76976356129859e-11,1.4991590603971e-11
