"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","0.249902259490101","0.00344426591598895","72.5560295243194","1.30390468020489e-79","0.966800772821592"
"2","pan0","barr","-0.180260273851197","0.004260145099144","-42.313177052917","8.1342084655673e-60","0.966800772821592"
"3","pan0","mort","-0.203684269078565","0.004260145099144","-47.8115802016913","3.0402838083258e-64","0.966800772821592"
"4","ibd1","(Intercept)","0.0146053370240405","0.000416100190677931","35.1005295148862","3.82973149684713e-53","0.912563128090749"
"5","ibd1","barr","-0.0152059623845076","0.000514666181795227","-29.5452915353155","3.91613116316228e-47","0.912563128090749"
"6","ibd1","mort","-0.0121131234834795","0.000514666181795227","-23.5358838640363","1.71570420277258e-39","0.912563128090749"
"7","ibr20","(Intercept)","0.0102907171904369","0.000281975553997123","36.495068613437","1.59834997887957e-54","0.920204753664762"
"8","ibr20","barr","-0.010798311611134","0.000348770043817695","-30.9611212388938","9.46677485223186e-49","0.920204753664762"
"9","ibr20","mort","-0.008707733280902","0.000348770043817695","-24.9669759064904","1.94386462382774e-41","0.920204753664762"
"10","ibr21","(Intercept)","0.0131842288005261","0.000375332793291166","35.1267702587831","3.60389779951255e-53","0.913436367756295"
"11","ibr21","barr","-0.0137849222416674","0.00046424178588089","-29.6934111941491","2.6349080569168e-47","0.913436367756295"
"12","ibr21","mort","-0.0110033886516533","0.00046424178588089","-23.7018488776805","1.01009601823753e-39","0.913436367756295"
"13","ibr22","(Intercept)","0.0112199289142806","0.000317559340344363","35.3317553252052","2.2447306074415e-53","0.914581104294131"
"14","ibr22","barr","-0.0117487052948875","0.000392782932692639","-29.9114455262777","1.4747708510431e-47","0.914581104294131"
"15","ibr22","mort","-0.00937612875636854","0.000392782932692639","-23.8710187637037","5.90276941927196e-40","0.914581104294131"
"16","ibr23","(Intercept)","0.00801324240730947","0.000215073325195696","37.2581881087214","2.93934922868166e-55","0.924535421370587"
"17","ibr23","barr","-0.00846112607102489","0.000266019986446363","-31.8063547933114","1.09706770390045e-49","0.924535421370587"
"18","ibr23","mort","-0.00690989722399633","0.000266019986446363","-25.9751055411379","9.28914645465406e-43","0.924535421370587"
"19","ibr24","(Intercept)","0.0135796710229307","0.000373474506632174","36.360369400809","2.16214617410086e-54","0.917435875851177"
"20","ibr24","barr","-0.0140576628254056","0.0004619433074834","-30.431575904822","3.74578136677385e-48","0.917435875851177"
"21","ibr24","mort","-0.011277990333985","0.0004619433074834","-24.4142303855984","1.07172460879086e-40","0.917435875851177"
"22","ibr25","(Intercept)","0.0144695573362688","0.000410334260101725","35.2628545632082","2.63122696594382e-53","0.913290791711696"
"23","ibr25","barr","-0.0150573522669619","0.00050753441511827","-29.6676477859203","2.82258954702519e-47","0.913290791711696"
"24","ibr25","mort","-0.0120165695949236","0.00050753441511827","-23.6763640789234","1.09550811738055e-39","0.913290791711696"
"25","ibr26","(Intercept)","0.0122244010433921","0.000348977476092002","35.0291978161058","4.51864793743328e-53","0.913120943640178"
"26","ibr26","barr","-0.0128011779236868","0.000431643409872467","-29.6568362470054","2.90532077960518e-47","0.913120943640178"
"27","ibr26","mort","-0.0101858648270212","0.000431643409872467","-23.5978694312297","1.40725269690968e-39","0.913120943640178"
"28","ibr27","(Intercept)","0.0146642860064013","0.000415310821347002","35.3091835142648","2.36457826565573e-53","0.913661936205438"
"29","ibr27","barr","-0.0152748484500229","0.000513689826319606","-29.7355479267741","2.35471404189704e-47","0.913661936205438"
"30","ibr27","mort","-0.0121930306107376","0.000513689826319606","-23.7361730484251","9.05578911592293e-40","0.913661936205438"
"31","ibr28","(Intercept)","0.0116030442080385","0.000320911917210764","36.1564765462356","3.42227745901302e-54","0.91742302025874"
"32","ibr28","barr","-0.0120789510364018","0.000396929669400918","-30.4309603629088","3.75181821538922e-48","0.91742302025874"
"33","ibr28","mort","-0.00968798981918489","0.000396929669400918","-24.4073209085299","1.09504161242418e-40","0.91742302025874"
"34","ibr29","(Intercept)","0.0111333899178823","0.000291801900509512","38.1539321657686","4.18613330666361e-56","0.924488962823549"
"35","ibr29","barr","-0.0115104253241731","0.000360924059494275","-31.8915434462902","8.8524730219042e-50","0.924488962823549"
"36","ibr29","mort","-0.0092912160826114","0.000360924059494275","-25.7428559781528","1.85650283846233e-42","0.924488962823549"
"37","ibr40","(Intercept)","0.00725611757930953","0.000201182926202248","36.0672633422928","4.18683737897835e-54","0.918174267491953"
"38","ibr40","barr","-0.007592279725307","0.000248839223798975","-30.5107836674512","3.04541521081454e-48","0.918174267491953"
"39","ibr40","mort","-0.00614691471522988","0.000248839223798975","-24.702354481686","4.38583334778915e-41","0.918174267491953"
"40","ibr41","(Intercept)","0.0150853706641635","0.000439362305410407","34.334694802897","2.29708502610635e-52","0.908728597103092"
"41","ibr41","barr","-0.0157075830843305","0.000543438636213813","-28.9040602518928","2.21880845704914e-46","0.908728597103092"
"42","ibr41","mort","-0.0124291639453419","0.000543438636213813","-22.8713291935535","1.47145508258577e-38","0.908728597103092"
"43","ibr42","(Intercept)","0.0106476025833832","0.000315624296902153","33.7350536314513","9.56959800637134e-52","0.906885214702558"
"44","ibr42","barr","-0.0111660551948857","0.000390389515332298","-28.6023439573708","5.0730691429153e-46","0.906885214702558"
"45","ibr42","mort","-0.00881654729212768","0.000390389515332298","-22.5839756086253","3.77894162435245e-38","0.906885214702558"
"46","ibr43","(Intercept)","0.000597113956534798","0.0000438698633678672","13.6110284075368","2.88107527703435e-23","0.709166375497325"
"47","ibr43","barr","-0.000716574540172231","0.0000542617753638438","-13.2058808501446","1.7102008856272e-22","0.709166375497325"
"48","ibr43","mort","-0.000714636514583135","0.0000542617753638438","-13.1701646286221","2.00278504306826e-22","0.709166375497325"
"49","ibr44","(Intercept)","0.0139143126069026","0.000378794005091253","36.733191180126","9.39182410561337e-55","0.92435246683762"
"50","ibr44","barr","-0.0147375215496133","0.000468522891012403","-31.4552860325945","2.66945202460824e-49","0.92435246683762"
"51","ibr44","mort","-0.0124594276530447","0.000468522891012403","-26.5929966113756","1.5064825121828e-43","0.92435246683762"
"52","ibr45","(Intercept)","0.0176096852414422","0.000509989701773028","34.5294918313458","1.45167177738165e-52","0.910273882585403"
"53","ibr45","barr","-0.018392824000514","0.000630796280431341","-29.1581047179557","1.11191841554612e-46","0.910273882585403"
"54","ibr45","mort","-0.0145925420160348","0.000630796280431341","-23.1335257811861","6.26899918161664e-39","0.910273882585403"
"55","ibr46","(Intercept)","0.0128999657098203","0.000381745303929299","33.792074393689","8.34752058105503e-52","0.906617222049948"
"56","ibr46","barr","-0.0134951968994569","0.000472173294781359","-28.5810253324594","5.37976965273097e-46","0.906617222049948"
"57","ibr46","mort","-0.0106164617877779","0.000472173294781359","-22.484248696644","5.25291581542995e-38","0.906617222049948"
"58","ibr47","(Intercept)","0.0187833886975511","0.000532860176558556","35.2501266258298","2.70966956500331e-53","0.913185953194918"
"59","ibr47","barr","-0.019545574868079","0.000659084323064858","-29.6556513090596","2.91453578746995e-47","0.913185953194918"
"60","ibr47","mort","-0.0155817532293882","0.000659084323064858","-23.6415170018462","1.22423407761894e-39","0.913185953194918"
"61","ibr48","(Intercept)","0.0118438884656853","0.000313733380510918","37.7514450212388","9.99868003192435e-56","0.924722613909303"
"62","ibr48","barr","-0.012365996234851","0.000388050677857637","-31.8669620759885","9.41731494502616e-50","0.924722613909303"
"63","ibr48","mort","-0.0100772669421388","0.000388050677857637","-25.9689455969352","9.46073536727508e-43","0.924722613909303"
"64","ibr49","(Intercept)","0.0104076709979446","0.000253285286084988","41.0907051049637","9.24280313411804e-59","0.934030046221293"
"65","ibr49","barr","-0.0106710095796497","0.000313283612972846","-34.0618185496176","4.38553463489399e-52","0.934030046221293"
"66","ibr49","mort","-0.00883440590125318","0.000313283612972846","-28.1993871860094","1.54792396641622e-45","0.934030046221293"
