"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.966800772821592,0.249902259490101,-0.180260273851197,-0.203684269078565
"2","ibd1",0.912563128090749,0.0146053370240405,-0.0152059623845076,-0.0121131234834795
"3","ibr20",0.920204753664762,0.0102907171904369,-0.010798311611134,-0.008707733280902
"4","ibr21",0.913436367756295,0.0131842288005261,-0.0137849222416674,-0.0110033886516533
"5","ibr22",0.914581104294131,0.0112199289142806,-0.0117487052948875,-0.00937612875636854
"6","ibr23",0.924535421370587,0.00801324240730947,-0.00846112607102489,-0.00690989722399633
"7","ibr24",0.917435875851177,0.0135796710229307,-0.0140576628254056,-0.011277990333985
"8","ibr25",0.913290791711696,0.0144695573362688,-0.0150573522669619,-0.0120165695949236
"9","ibr26",0.913120943640178,0.0122244010433921,-0.0128011779236868,-0.0101858648270212
"10","ibr27",0.913661936205438,0.0146642860064013,-0.0152748484500229,-0.0121930306107376
"11","ibr28",0.91742302025874,0.0116030442080385,-0.0120789510364018,-0.00968798981918489
"12","ibr29",0.924488962823549,0.0111333899178823,-0.0115104253241731,-0.0092912160826114
"13","ibr40",0.918174267491953,0.00725611757930953,-0.007592279725307,-0.00614691471522988
"14","ibr41",0.908728597103092,0.0150853706641635,-0.0157075830843305,-0.0124291639453419
"15","ibr42",0.906885214702558,0.0106476025833832,-0.0111660551948857,-0.00881654729212768
"16","ibr43",0.709166375497325,0.000597113956534798,-0.000716574540172231,-0.000714636514583135
"17","ibr44",0.92435246683762,0.0139143126069026,-0.0147375215496133,-0.0124594276530447
"18","ibr45",0.910273882585403,0.0176096852414422,-0.018392824000514,-0.0145925420160348
"19","ibr46",0.906617222049948,0.0128999657098203,-0.0134951968994569,-0.0106164617877779
"20","ibr47",0.913185953194918,0.0187833886975511,-0.019545574868079,-0.0155817532293882
"21","ibr48",0.924722613909303,0.0118438884656853,-0.012365996234851,-0.0100772669421388
"22","ibr49",0.934030046221293,0.0104076709979446,-0.0106710095796497,-0.00883440590125318
