"","land","(Intercept)","barr","mort"
"1","pan0",1.30390468020489e-79,8.1342084655673e-60,3.0402838083258e-64
"2","ibd1",3.82973149684713e-53,3.91613116316228e-47,1.71570420277258e-39
"3","ibr20",1.59834997887957e-54,9.46677485223186e-49,1.94386462382774e-41
"4","ibr21",3.60389779951255e-53,2.6349080569168e-47,1.01009601823753e-39
"5","ibr22",2.2447306074415e-53,1.4747708510431e-47,5.90276941927196e-40
"6","ibr23",2.93934922868166e-55,1.09706770390045e-49,9.28914645465406e-43
"7","ibr24",2.16214617410086e-54,3.74578136677385e-48,1.07172460879086e-40
"8","ibr25",2.63122696594382e-53,2.82258954702519e-47,1.09550811738055e-39
"9","ibr26",4.51864793743328e-53,2.90532077960518e-47,1.40725269690968e-39
"10","ibr27",2.36457826565573e-53,2.35471404189704e-47,9.05578911592293e-40
"11","ibr28",3.42227745901302e-54,3.75181821538922e-48,1.09504161242418e-40
"12","ibr29",4.18613330666361e-56,8.8524730219042e-50,1.85650283846233e-42
"13","ibr40",4.18683737897835e-54,3.04541521081454e-48,4.38583334778915e-41
"14","ibr41",2.29708502610635e-52,2.21880845704914e-46,1.47145508258577e-38
"15","ibr42",9.56959800637134e-52,5.0730691429153e-46,3.77894162435245e-38
"16","ibr43",2.88107527703435e-23,1.7102008856272e-22,2.00278504306826e-22
"17","ibr44",9.39182410561337e-55,2.66945202460824e-49,1.5064825121828e-43
"18","ibr45",1.45167177738165e-52,1.11191841554612e-46,6.26899918161664e-39
"19","ibr46",8.34752058105503e-52,5.37976965273097e-46,5.25291581542995e-38
"20","ibr47",2.70966956500331e-53,2.91453578746995e-47,1.22423407761894e-39
"21","ibr48",9.99868003192435e-56,9.41731494502616e-50,9.46073536727508e-43
"22","ibr49",9.24280313411804e-59,4.38553463489399e-52,1.54792396641622e-45
