"","land","barr","mort","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"1","ibd1",0,0,8.93,0.698589107,0.6709973024,0.0393505151,0.0904367994,0.0127107301,0.0335527327,0.0071583585
"2","ibd1",0,25,8.9,0.7178008049,0.686825,0.0437723162,0.0872679415,0.0176843361,0.0577507306,0.013113069
"3","ibd1",0,50,8.96,0.705282095,0.6678064299,0.052991804,0.083279067,0.0245830948,0.0511311786,0.0116342238
"4","ibd1",0,75,9.1,0.6944333595,0.6461411179,0.0694987145,0.0728835657,0.0426319635,0.1233177485,0.0250149069
"5","ibd1",0,100,8.63,0.7218457124,0.5663198178,0.2158628777,0.0342182022,0.197885673,0.4417578866,0.0938753674
"6","ibd1",750,0,8.81,0.7069087032,0.678775,0.0401150495,0.0893884211,0.0158836815,0.0346477783,0.0086280934
"7","ibd1",750,25,8.97,0.7304798907,0.7002875,0.0410687703,0.0852768116,0.0188370284,0.0746708069,0.0148304416
"8","ibd1",750,50,8.84,0.7072711391,0.6694734668,0.0529293377,0.0814186019,0.028564701,0.094792785,0.0197130985
"9","ibd1",750,75,8.67,0.7036987623,0.6528746069,0.0722116868,0.0756085036,0.0461781473,0.1617436172,0.03392813
"10","ibd1",750,100,8.76,0.7163106344,0.5613391824,0.2159481869,0.0350554129,0.1931855745,0.5248230992,0.113107558
"11","ibd1",1500,0,8.8,0.6968534271,0.6632615613,0.0477591477,0.084134131,0.0255258124,0.0646001201,0.0137467254
"12","ibd1",1500,25,8.65,0.691322381,0.6551304641,0.0510032719,0.0850853345,0.0269352055,0.0741563019,0.0157368336
"13","ibd1",1500,50,8.94,0.707401579,0.6666902378,0.0581892978,0.0762467819,0.0381520064,0.124676498,0.0256166409
"14","ibd1",1500,75,8.85,0.6974435183,0.6367874374,0.0848374586,0.0691828668,0.0629696765,0.1436273037,0.0278063497
"15","ibd1",1500,100,8.88,0.7091891418,0.5884279568,0.1686372727,0.0438322203,0.1504696782,0.4061724199,0.0860862444
"16","ibd1",2250,0,8.92,0.7148795027,0.6432403942,0.0988989654,0.0620451248,0.0761105565,0.2136517626,0.0449160458
"17","ibd1",2250,25,8.85,0.7096505315,0.6322,0.1078206721,0.060332887,0.0836828766,0.2605019461,0.0529953454
"18","ibd1",2250,50,8.73,0.6930580626,0.6045375,0.1258722353,0.0576477934,0.0998979476,0.2446776471,0.0487377145
"19","ibd1",2250,75,8.94,0.7176593985,0.6077,0.1555020307,0.0488353865,0.1204085054,0.4107991534,0.0880886137
"20","ibd1",2250,100,8.82,0.6998331172,0.5583876961,0.1988475675,0.0372287591,0.1827941042,0.4515241925,0.0918304748
"21","ibd1",3000,0,9.04,0.7129991329,0.58075,0.1833650835,0.0393744166,0.1623420332,0.3847414859,0.0791674336
"22","ibd1",3000,25,8.91,0.7011730404,0.5826085889,0.1646258434,0.0459751414,0.1451820576,0.2961077357,0.0591986719
"23","ibd1",3000,50,9.03,0.7330379941,0.5875395075,0.1995104365,0.0344827048,0.1706328378,0.5402087113,0.1195132002
"24","ibd1",3000,75,8.95,0.7246907531,0.5891958386,0.1866209648,0.0381127461,0.1654149281,0.4239529662,0.0906746301
"25","ibd1",3000,100,8.99,0.7198089044,0.5855482477,0.1865351291,0.038961636,0.1633650768,0.4878265251,0.104747878
"26","ibr20",0,0,8.81,0.6787986783,0.629995691,0.0717606823,0.0850735158,0.0241887956,0.0758450942,0.0154649263
"27","ibr20",0,25,8.87,0.7198056078,0.6673017145,0.0731784252,0.0819871503,0.0260619223,0.0889600181,0.0190617082
"28","ibr20",0,50,8.77,0.7160793262,0.6520554054,0.0896374575,0.0776671744,0.0380361599,0.1106202581,0.0238385404
"29","ibr20",0,75,8.78,0.6980085713,0.6228644924,0.1077913094,0.0691531477,0.0584797521,0.1876567841,0.037912429
"30","ibr20",0,100,8.75,0.7263439563,0.5520787197,0.2418745804,0.030443048,0.1999895819,0.5959613534,0.1320916395
"31","ibr20",750,0,8.82,0.6999208775,0.6495555929,0.0710127639,0.0838869839,0.0248000955,0.0796683151,0.0166073052
"32","ibr20",750,25,8.81,0.706067872,0.6442818417,0.087350386,0.0809939151,0.0304742306,0.0955623396,0.0200070097
"33","ibr20",750,50,8.81,0.7138323356,0.6551782227,0.0813439063,0.0767242877,0.0379577076,0.111168489,0.0240294495
"34","ibr20",750,75,8.85,0.6932130133,0.6144204163,0.112420067,0.0675913409,0.0612070619,0.1658804331,0.0327056448
"35","ibr20",750,100,8.84,0.72127483,0.555703956,0.2314255728,0.0350242922,0.1888372613,0.5776223453,0.1277088401
"36","ibr20",1500,0,8.87,0.7044164809,0.6407522985,0.0906092567,0.0756709314,0.0403128463,0.1274362052,0.0258417282
"37","ibr20",1500,25,8.75,0.6849851735,0.6235974272,0.0879959752,0.0774812885,0.0399681402,0.1095176251,0.0218140778
"38","ibr20",1500,50,8.93,0.7083141323,0.6313067566,0.1076721307,0.06822541,0.0579443114,0.1709971407,0.0361878924
"39","ibr20",1500,75,8.79,0.7057536205,0.6154657611,0.1268285268,0.0615494449,0.0814441969,0.2361245089,0.0491360855
"40","ibr20",1500,100,8.95,0.7305856649,0.5881830626,0.1924569761,0.0407543225,0.1452461867,0.4342278839,0.0928891846
"41","ibr20",2250,0,8.74,0.7067223472,0.5891509595,0.1661778298,0.0520536505,0.1180663241,0.3198952172,0.0656955556
"42","ibr20",2250,25,8.96,0.7209081139,0.5860476796,0.1849644082,0.0445189139,0.1417391154,0.3788171086,0.0806176144
"43","ibr20",2250,50,8.94,0.7051111123,0.5796336108,0.175852526,0.0487102573,0.1300756678,0.3481425308,0.0741278237
"44","ibr20",2250,75,8.93,0.7259902991,0.5910018613,0.1865396224,0.0431325167,0.142870996,0.4324482717,0.0940397906
"45","ibr20",2250,100,8.68,0.7059362833,0.5535522948,0.2118106707,0.0411203605,0.169022507,0.3683303491,0.0752828121
"46","ibr20",3000,0,9,0.7157489093,0.56429919,0.2109706991,0.0373620082,0.1655619427,0.4879026912,0.1057399226
"47","ibr20",3000,25,9.11,0.7086620987,0.5530825192,0.2208386333,0.0374779262,0.1771616887,0.4111530456,0.0865882145
"48","ibr20",3000,50,8.93,0.7022497353,0.5362459381,0.2350555429,0.0359369395,0.1969197036,0.4929440413,0.1036821607
"49","ibr20",3000,75,9.04,0.7233352695,0.5746452593,0.2042731164,0.0381240549,0.1593829186,0.4761934962,0.1022256542
"50","ibr20",3000,100,8.92,0.704640196,0.5666495955,0.1938534049,0.0429897905,0.1498626741,0.3680391852,0.0760776589
"51","ibr21",0,0,8.83,0.7105001248,0.6581755235,0.0732081811,0.0865532533,0.0189200711,0.0630630639,0.0134348856
