"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","-0.064509464106038","0.0279347381336878","-2.30929188587034","0.0246397735562369","0.370454287522246"
"2","pan0","barr","0.000088065791441511","0.0000152057454501783","5.79161289593194","0.000000330976942478747","0.370454287522246"
"3","pan0","mort","0.00262714538157052","0.00188698338580723","1.39224616460873","0.169352181181379","0.370454287522246"
"4","ibd1","(Intercept)","-0.0607589798898669","0.0240724813651929","-2.52400153387261","0.0134182674138322","0.54733615962944"
"5","ibd1","barr","0.000131171513289798","0.0000139496336369033","9.40322281603069","0.00000000000000670809943479126","0.54733615962944"
"6","ibd1","mort","0.00387278357151778","0.000418489009107098","9.25420617325381","0.0000000000000135436960380062","0.54733615962944"
"7","ibr20","(Intercept)","-0.0401450903477406","0.0256852702133264","-1.56296157347459","0.121692019860446","0.624188421459319"
"8","ibr20","barr","0.000162101690837003","0.0000148842200313776","10.8908421466005","0.00000000000000000628790849116675","0.624188421459319"
"9","ibr20","mort","0.00487795627172104","0.000446526600941327","10.9242232409845","0.00000000000000000538486594840053","0.624188421459319"
"10","ibr21","(Intercept)","-0.0521789149086349","0.0259855343667002","-2.00799853381121","0.0477457289826712","0.60505707592229"
"11","ibr21","barr","0.000167960815172714","0.0000150582185016771","11.1540960276282","0.00000000000000000185565763585431","0.60505707592229"
"12","ibr21","mort","0.00432775822766578","0.000451746555050314","9.58005806415894","0.00000000000000291531958950887","0.60505707592229"
"13","ibr22","(Intercept)","-0.0343977437339521","0.0209592680220895","-1.64117104174151","0.104372382272789","0.626115023950523"
"14","ibr22","barr","0.000141141682705095","0.000012145574266746","11.6208323793741","0.000000000000000000216189829464929","0.626115023950523"
"15","ibr22","mort","0.00366927931810335","0.000364367228002381","10.0702781043727","0.000000000000000290647606473349","0.626115023950523"
"16","ibr23","(Intercept)","0.0133745215613209","0.020626395484008","0.648417779620799","0.518422581894236","0.636431622215121"
"17","ibr23","barr","0.000136854782566241","0.0000119526797377783","11.4497155088737","0.000000000000000000474453754315017","0.636431622215121"
"18","ibr23","mort","0.00391346580964794","0.000358580392133349","10.913775252364","0.00000000000000000565256041799009","0.636431622215121"
"19","ibr24","(Intercept)","-0.0530873651769809","0.0251470202980005","-2.1110797441557","0.0376345874685378","0.626093147794257"
"20","ibr24","barr","0.000154838440564918","0.0000145723124631471","10.6255229536493","0.0000000000000000216208681757448","0.626093147794257"
