"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","0.7045278375","0.00772540092301014","91.1962815290997","0.00000000000000000000000000000000000000000000000000000000000000183116266516603","0.074743722647544"
"2","pan0","barr","0.000000364998958333358","0.00000420517562662245","0.0867975539529416","0.931136630649791","0.074743722647544"
"3","pan0","mort","-0.001114219125","0.000504621075194695","-2.20803129272813","0.0312805530506943","0.074743722647544"
"4","ibd1","(Intercept)","0.701782430453972","0.00609214474348183","115.194641625157","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000681308630369013","-0.00806043376802434"
"5","ibd1","barr","0.00000353005739318642","0.00000353030441462661","0.999930028289014","0.320117442839266","-0.00806043376802434"
"6","ibd1","mort","0.000108298156837967","0.000105909132438798","1.02255730307818","0.309352184725659","-0.00806043376802434"
"7","ibr20","(Intercept)","0.693464563909676","0.0063886520152605","108.546304017374","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115901520990747","0.0528353712132643"
"8","ibr20","barr","0.00000698981687249417","0.00000370212582967902","1.8880549160319","0.0623516089360211","0.0528353712132643"
"9","ibr20","mort","0.000288960213444614","0.000111063774890371","2.60175033425474","0.0108999617314973","0.0528353712132643"
"10","ibr21","(Intercept)","0.70741430359395","0.00635513721501147","111.313773355352","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131694485809569","-0.00135502096186602"
"11","ibr21","barr","0.00000433375388317683","0.00000368270451711072","1.17678566473123","0.24249072382844","-0.00135502096186602"
"12","ibr21","mort","0.0000136346459835622","0.000110481135513322","0.123411530124237","0.90206589215087","-0.00135502096186602"
"13","ibr22","(Intercept)","0.704955091099945","0.00638818880407319","110.352889171099","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000278523508970079","0.0161280366809864"
"14","ibr22","barr","0.00000305320614454051","0.00000370185740590245","0.82477681060116","0.411753981092161","0.0161280366809864"
"15","ibr22","mort","-0.0000958265982551595","0.000111055722177074","-0.862869525105317","0.390581621177661","0.0161280366809864"
"16","ibr23","(Intercept)","0.699515121824457","0.00677419949269972","103.26166546738","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000862038176600637","0.01415782999232"
"17","ibr23","barr","0.00000710416012638606","0.00000392554467787827","1.80972596399688","0.0737915011001383","0.01415782999232"
"18","ibr23","mort","0.000130613780479876","0.000117766340336348","1.10909263297845","0.270446665858126","0.01415782999232"
"19","ibr24","(Intercept)","0.698439376457029","0.00663338932476579","105.291479553206","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000160617530638845","0.00976811197743677"
"20","ibr24","barr","0.00000223767849441858","0.00000384394734583633","0.58213037096941","0.561984408132294","0.00976811197743677"
"21","ibr24","mort","0.000188087933607325","0.00011531842037509","1.631031130981","0.106498788446656","0.00976811197743677"
"22","ibr25","(Intercept)","0.700447220839551","0.00707889279467665","98.9486973677987","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342052044539658","0.0097417702969399"
"23","ibr25","barr","0.000000501939759159179","0.00000410210977184246","0.122361366973788","0.902895040633341","0.0097417702969399"
"24","ibr25","mort","-0.000159462794573125","0.000123063293155274","-1.29577870447465","0.198479044372239","0.0097417702969399"
"25","ibr26","(Intercept)","0.709005913378398","0.00692544817252938","102.376899763795","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018114843895561","0.0169425330324795"
