"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.309466379228158,0.7294325,-0.0000301916666666666,-0.0021728
"2","ibd1",0.470948738846438,0.70402715436828,-0.0000347667661467143,-0.00108550807826127
"3","ibr20",0.416654325068828,0.671447354526594,-0.0000337228318526795,-0.000888203553259442
"4","ibr21",0.473896003089727,0.682689076875056,-0.0000352852784869615,-0.00104659386850199
"5","ibr22",0.427717115454315,0.681081710361931,-0.0000333779342910879,-0.00108336863093756
"6","ibr23",0.370272039595041,0.649841857504685,-0.000031959784518639,-0.000872912705502618
"7","ibr24",0.483473148123098,0.671005730658669,-0.0000348037304759628,-0.000874908654089639
"8","ibr25",0.479625064153225,0.685125268560871,-0.0000375043481957354,-0.00122636109762529
"9","ibr26",0.443985304343404,0.680562611017594,-0.000036324258802676,-0.00113129187148419
"10","ibr27",0.40483358398265,0.677290392021542,-0.0000293574098117006,-0.00107744639303238
"11","ibr28",0.540935952062364,0.678871538583185,-0.0000339163932904293,-0.00120273392026556
"12","ibr29",0.488296034609287,0.677572346678841,-0.0000414839620813615,-0.00113176701162568
"13","ibr40",0.431373584743791,0.619502684591544,-0.0000394031828952209,-0.00110275299933269
"14","ibr41",0.473193678344741,0.629978177319,-0.0000398097892345466,-0.00133927452109876
"15","ibr42",0.340846055866196,0.622652234823491,-0.0000336478021051781,-0.000925103924070922
"16","ibr43",0.0137058754597337,0.433257803686961,-0.00000646094815107787,-0.000267203166020311
"17","ibr44",0.393610403005374,0.593004158969445,-0.0000330681498733856,-0.00112859038733013
"18","ibr45",0.407230058558326,0.641806889277771,-0.0000341984090912591,-0.00119663260364168
"19","ibr46",0.481111080680553,0.631943521186184,-0.0000384480259786789,-0.00139416749033214
"20","ibr47",0.415381288808754,0.661250133493326,-0.0000351396467099589,-0.00126241416179699
"21","ibr48",0.639742402943503,0.610577588355662,-0.0000454854900039868,-0.00122075319415109
"22","ibr49",0.445621595934921,0.586263309347859,-0.0000350434529069593,-0.00108615888100767
