"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","0.70198925","0.0412495339986753","17.0181134657799","0.0000699156092707668","-0.156833765639116"
"2","pan0","barr","-0.0000182450625","0.0000198634413592838","-0.918524749563224","0.410319394914099","-0.156833765639116"
"3","pan0","mort","-0.002653385625","0.00273077170773704","-0.971661460195377","0.386240432645275","-0.156833765639116"
"4","ibd1","(Intercept)","0.700186828524526","0.00707640028273696","98.946752663589","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342632312435299","0.470380249672748"
"5","ibd1","barr","-0.0000342796188072403","0.00000410066539941293","-8.35952594721528","0.000000000000916964276965162","0.470380249672748"
"6","ibd1","mort","-0.00093733074386393","0.000123019961982388","-7.61933859155413","0.0000000000291910386878272","0.470380249672748"
"7","ibr20","(Intercept)","0.669408333335092","0.00720177592075549","92.9504528745277","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000749862855158627","0.404905194749323"
"8","ibr20","barr","-0.0000319749271146028","0.00000417331865816175","-7.66175069139988","0.0000000000239696142347383","0.404905194749323"
"9","ibr20","mort","-0.000763017882767411","0.000125199559744853","-6.09441346536988","0.0000000292297932289633","0.404905194749323"
"10","ibr21","(Intercept)","0.684415679256568","0.00713982179505263","95.8589302229949","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000527182825266306","0.482958061234403"
"11","ibr21","barr","-0.0000360150339106281","0.00000413741719280225","-8.7047141325952","0.000000000000180674209411532","0.482958061234403"
"12","ibr21","mort","-0.00094266906386981","0.000124122515784068","-7.59466610803913","0.0000000000327342526076141","0.482958061234403"
"13","ibr22","(Intercept)","0.682390480305307","0.00757970791184307","90.0285984950807","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000117349413229326","0.438610229808378"
"14","ibr22","barr","-0.0000330426207026081","0.00000439232444885519","-7.52280963926066","0.0000000000456818527333825","0.438610229808378"
"15","ibr22","mort","-0.000995021172774114","0.000131769733465656","-7.55121184967301","0.0000000000400462401638615","0.438610229808378"
"16","ibr23","(Intercept)","0.648340922700749","0.00786411362260296","82.4429749892338","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000227546254078011","0.344677498000132"
"17","ibr23","barr","-0.0000299472158284839","0.00000455713319495646","-6.57150329984376","0.00000000352325918917703","0.344677498000132"
"18","ibr23","mort","-0.000790725667143999","0.000136713995848694","-5.78379457227718","0.000000112426469797367","0.344677498000132"
"19","ibr24","(Intercept)","0.667569416933043","0.0067898337739085","98.3189631973513","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000593213262866061","0.469691650213785"
"20","ibr24","barr","-0.0000349641552288904","0.00000393460450398138","-8.88632013548263","0.000000000000076767176294087","0.469691650213785"
"21","ibr24","mort","-0.000747206540614119","0.000118038135119441","-6.33021302698513","0.0000000103392493776344","0.469691650213785"
"22","ibr25","(Intercept)","0.682954101160421","0.00798588568610903","85.5201449162212","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000975383225252305","0.451234198282665"
