"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",-0.156833765639116,0.70198925,-0.0000182450625,-0.002653385625
"2","ibd1",0.470380249672748,0.700186828524526,-0.0000342796188072403,-0.00093733074386393
"3","ibr20",0.404905194749323,0.669408333335092,-0.0000319749271146028,-0.000763017882767411
"4","ibr21",0.482958061234403,0.684415679256568,-0.0000360150339106281,-0.00094266906386981
"5","ibr22",0.438610229808378,0.682390480305307,-0.0000330426207026081,-0.000995021172774114
"6","ibr23",0.344677498000132,0.648340922700749,-0.0000299472158284839,-0.000790725667143999
"7","ibr24",0.469691650213785,0.667569416933043,-0.0000349641552288904,-0.000747206540614119
"8","ibr25",0.451234198282665,0.682954101160421,-0.0000358798689858048,-0.00106899273614198
"9","ibr26",0.441074852512607,0.679988712901988,-0.0000351626191573314,-0.00102892909098011
"10","ibr27",0.392582081696006,0.67759854203814,-0.0000292107371858153,-0.000923490519830099
"11","ibr28",0.528289204387878,0.676475066477425,-0.0000321892018924669,-0.00106963251905135
"12","ibr29",0.491659215336277,0.677462125575175,-0.0000407932820960396,-0.00101838842583123
"13","ibr40",0.434480628480985,0.636686943993305,-0.000040530727186043,-0.00106163175909861
"14","ibr41",0.436441011375444,0.639322117222364,-0.0000392023144190928,-0.00118134049971548
"15","ibr42",0.368241859338244,0.638099927082204,-0.0000351007482789483,-0.000888661010004756
"16","ibr43",0.00520929601482911,0.446180205154986,-0.0000056813883580359,-0.000247195774313535
"17","ibr44",0.369904460942001,0.601855080917166,-0.0000309389411608113,-0.00102739149057079
"18","ibr45",0.335262459199942,0.649099228731995,-0.0000320537885371841,-0.000926410964567237
"19","ibr46",0.459393627856705,0.637521216721961,-0.0000371908294550013,-0.00122918168056687
"20","ibr47",0.375513643686067,0.661838097423346,-0.0000329609928459465,-0.00104889455727634
"21","ibr48",0.643181892005836,0.621242976610279,-0.0000444889662147554,-0.00107688056350621
"22","ibr49",0.424192654305799,0.592899331532725,-0.0000344677626530998,-0.00102557854754871
