"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","8.72436710570938","0.148711434541041","58.6664174993327","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000478606713092216","0.177965070615543"
"2","pan0","barr","0.000234844793599151","0.0000774795628664864","3.03105470540455","0.00283797148652962","0.177965070615543"
"3","pan0","mort","-0.0146954327590053","0.00240130283116376","-6.11977488565378","0.0000000068041500556115","0.177965070615543"
"4","ibd1","(Intercept)","8.85879999999998","0.0455046378381076","194.679057363714","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000247946366273358","0.00276090406194307"
"5","ibd1","barr","0.0000269333333333344","0.0000191864399559334","1.40376919299223","0.161643599762614","0.00276090406194307"
"6","ibd1","mort","-0.000487999999999968","0.000575593198678002","-0.847820997747691","0.397358470025813","0.00276090406194307"
"7","ibr20","(Intercept)","8.79199999999999","0.0446567294120538","196.879621856652","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000157148032790236","0.0294326903491599"
"8","ibr20","barr","0.0000576000000000009","0.0000188289303727896","3.05912225812046","0.00246447030848376","0.0294326903491599"
"9","ibr20","mort","-0.000247999999999977","0.000564867911183688","-0.439040694452424","0.661015866719848","0.0294326903491599"
"10","ibr21","(Intercept)","8.87159999999998","0.0419047309707721","211.708792646534","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000283228496199074","0.0333422068019223"
"11","ibr21","barr","0.0000458666666666678","0.0000176685859472318","2.59594439553064","0.00999817616521981","0.0333422068019223"
"12","ibr21","mort","-0.00103999999999996","0.000530057578416955","-1.96205099662188","0.0508794308021334","0.0333422068019223"
"13","ibr22","(Intercept)","8.82199999999999","0.0408974623803214","215.710205145757","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000284672516940449","0.0249540548641567"
"14","ibr22","barr","0.0000376000000000009","0.0000172438842190489","2.18048320914061","0.0301658138780369","0.0249540548641567"
"15","ibr22","mort","-0.000983999999999977","0.000517316526571469","-1.90212365052682","0.0583182725104077","0.0249540548641567"
"16","ibr23","(Intercept)","8.8344","0.0472600181098239","186.931794640248","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000526268931556","0.00200441404907392"
"17","ibr23","barr","0.0000261333333333338","0.0000199265732650466","1.31148155710117","0.190912882179251","0.00200441404907392"
"18","ibr23","mort","-0.000527999999999988","0.000597797197951398","-0.883242681312995","0.377964001307705","0.00200441404907392"
"19","ibr24","(Intercept)","8.79879999999998","0.041915028756134","209.91993232767","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227706189257158","-0.00442616324477774"
"20","ibr24","barr","0.00000586666666666787","0.0000176729278747784","0.331957823187882","0.740202618514106","-0.00442616324477774"
"21","ibr24","mort","0.000472000000000037","0.000530187836243352","0.890250525821934","0.374197668685183","-0.00442616324477774"
"22","ibr25","(Intercept)","8.8392","0.0430069385231454","205.529626230961","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409065866649425","-0.00468934014456202"
"23","ibr25","barr","0.0000120000000000001","0.0000181333174565303","0.661765285296901","0.508738549094411","-0.00468934014456202"
"24","ibr25","mort","-0.000344","0.00054399952369591","-0.632353494839256","0.527740825161032","-0.00468934014456202"
"25","ibr26","(Intercept)","8.8188","0.0431020632249897","204.602734536546","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124117773449755","0.00954512582774936"
"26","ibr26","barr","0.0000360000000000001","0.0000181734255524733","1.98091437940827","0.0487101095623783","0.00954512582774936"
"27","ibr26","mort","0.000376000000000007","0.000545202766574201","0.689651672831036","0.491060670849197","0.00954512582774936"
"28","ibr27","(Intercept)","8.8956","0.0429800631683984","206.970379851387","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000735803839731296","0.014885969518177"
"29","ibr27","barr","0.0000232000000000002","0.0000181219858120069","1.28021289944002","0.201671252791515","0.014885969518177"
"30","ibr27","mort","-0.00110399999999999","0.000543659574360208","-2.0306825301462","0.0433585225028127","0.014885969518177"
"31","ibr28","(Intercept)","8.87719999999998","0.0478860996794488","185.381562904982","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405714042624238","0.00765310388783036"
"32","ibr28","barr","0.000012000000000001","0.0000201905524331889","0.594337378321335","0.552830467702355","0.00765310388783036"
"33","ibr28","mort","-0.00114399999999997","0.000605716572995669","-1.88867211333204","0.0601074578612661","0.00765310388783036"
"34","ibr29","(Intercept)","8.852","0.0454493890339876","194.766094509661","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022218714218261","0.00348488655291002"
"35","ibr29","barr","0.0000269333333333337","0.0000191631450147308","1.40547563109448","0.161136443543314","0.00348488655291002"
"36","ibr29","mort","-0.000543999999999989","0.000574894350441924","-0.946260820934863","0.344940350535806","0.00348488655291002"
"37","ibr40","(Intercept)","8.174","0.0533275266744537","153.279188249241","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000676393981769697","-0.00468958064337199"
"38","ibr40","barr","-0.0000106666666666664","0.0000224848595032878","-0.474393298526356","0.635638592065383","-0.00468958064337199"
"39","ibr40","mort","-0.000527999999999995","0.000674545785098635","-0.7827489425685","0.434524360950306","-0.00468958064337199"
"40","ibr41","(Intercept)","8.1816","0.0506846725587594","161.421581455714","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215136973468332","-0.00162516107171351"
"41","ibr41","barr","-0.00000186666666666668","0.0000213705343660686","-0.0873476832488807","0.930465924281791","-0.00162516107171351"
"42","ibr41","mort","-0.000808","0.000641116030982058","-1.2603022868767","0.208749671575479","-0.00162516107171351"
"43","ibr42","(Intercept)","8.20799999999999","0.0501596641020851","163.637459439422","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765052056189687","0.027420567851098"
