"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","-0.0513169638131387","0.00905114103375889","-5.66966790394017","0.0000000646573565359125","0.488508389606867"
"2","pan0","barr","0.0000536131954243854","0.00000471456541434377","11.371821305368","0.000000000000000000000228188379108694","0.488508389606867"
"3","pan0","mort","-0.0000804814661205895","0.000146137581214254","-0.550723951032107","0.582586286841272","0.488508389606867"
"4","ibd1","(Intercept)","0.011427168441383","0.00632853436869207","1.80565795738022","0.0721892372266949","0.569592316261359"
"5","ibd1","barr","0.0000336808239508498","0.00000266834438076303","12.62236770998","0.000000000000000000000000000161467486098545","0.569592316261359"
"6","ibd1","mort","0.00105045162132455","0.000080050331422891","13.1223894099227","0.00000000000000000000000000000335195430079533","0.569592316261359"
"7","ibr20","(Intercept)","0.0582039785904271","0.00642689746855929","9.05631043208079","0.0000000000000000420101436737176","0.511151940758842"
"8","ibr20","barr","0.000034754406512057","0.00000270981790520237","12.8253660311767","0.0000000000000000000000000000336032307773499","0.511151940758842"
"9","ibr20","mort","0.000804243808833198","0.0000812945371560711","9.89296251590918","0.00000000000000000011799867431887","0.511151940758842"
"10","ibr21","(Intercept)","0.046867468395495","0.00618541705109673","7.57709108510071","0.000000000000709030096802815","0.57177006497045"
"11","ibr21","barr","0.0000366513393983669","0.0000026080008212677","14.0534232579541","0.00000000000000000000000000000000231855423663378","0.57177006497045"
"12","ibr21","mort","0.000915657737397147","0.0000782400246380312","11.7031882547754","0.00000000000000000000000018365919671221","0.57177006497045"
"13","ibr22","(Intercept)","0.042289970515969","0.00568606265066501","7.43747881691438","0.00000000000168886719712043","0.615627758290891"
"14","ibr22","barr","0.0000368063687471133","0.00000239745451926877","15.3522698559218","0.000000000000000000000000000000000000083907458163355","0.615627758290891"
"15","ibr22","mort","0.000924204268048062","0.0000719236355780631","12.8497991045651","0.0000000000000000000000000000278092451343223","0.615627758290891"
"16","ibr23","(Intercept)","0.091282724369468","0.00538544617518268","16.9498907611627","0.00000000000000000000000000000000000000000028517786467405","0.593692771455094"
"17","ibr23","barr","0.0000363539168234542","0.00000227070348397592","16.0099797617784","0.000000000000000000000000000000000000000468158681431271","0.593692771455094"
"18","ibr23","mort","0.000712890839621307","0.0000681211045192778","10.465051097631","0.00000000000000000000187811087068127","0.593692771455094"
"19","ibr24","(Intercept)","0.0515902602560163","0.00581343327486333","8.87431880900519","0.000000000000000146021785244091","0.583745691227943"
"20","ibr24","barr","0.0000345819290518959","0.00000245115868986397","14.108400731009","0.00000000000000000000000000000000150590143958241","0.583745691227943"
"21","ibr24","mort","0.000907029841092719","0.0000735347606959193","12.3347085447584","0.00000000000000000000000000147989084702139","0.583745691227943"
"22","ibr25","(Intercept)","0.0344459924843034","0.00633980488240223","5.43328905593249","0.000000132475291570741","0.563526163222286"
"23","ibr25","barr","0.0000362538963111044","0.00000267309644659293","13.5625096345898","0.000000000000000000000000000000108417672559218","0.563526163222286"
"24","ibr25","mort","0.00094729248861532","0.0000801928933977881","11.8126737729287","0.0000000000000000000000000799886515368075","0.563526163222286"
"25","ibr26","(Intercept)","0.0520417389146978","0.00638439363658057","8.15139884491379","0.0000000000000181065884589073","0.540752981739927"
"26","ibr26","barr","0.0000345251802431894","0.00000269189671609065","12.8255961816132","0.0000000000000000000000000000335433903007696","0.540752981739927"
"27","ibr26","mort","0.000923231721321572","0.0000807569014827196","11.4322330893184","0.00000000000000000000000142348005932925","0.540752981739927"
"28","ibr27","(Intercept)","0.0343600584315299","0.00624467172670007","5.50230019051572","0.0000000936221554803982","0.580302618249754"
"29","ibr27","barr","0.0000359431345638415","0.0000026329847861905","13.651098461471","0.0000000000000000000000000000000542371332817879","0.580302618249754"
"30","ibr27","mort","0.000998935531089846","0.0000789895435857151","12.6464274351181","0.000000000000000000000000000134091438884745","0.580302618249754"
"31","ibr28","(Intercept)","0.05618779316141","0.0063722431147095","8.81758466366542","0.000000000000000214776433563111","0.545831529814346"
"32","ibr28","barr","0.0000339857054452181","0.00000268677360624102","12.6492628058702","0.000000000000000000000000000131186944576727","0.545831529814346"
"33","ibr28","mort","0.000957961089481597","0.0000806032081872306","11.8849002542973","0.0000000000000000000000000461746860641609","0.545831529814346"
"34","ibr29","(Intercept)","0.058623958243127","0.00603036107028548","9.72146734828131","0.000000000000000000400781471003925","0.54228200860165"
"35","ibr29","barr","0.0000350922692218686","0.00000254262347937505","13.8015988236268","0.0000000000000000000000000000000166993603401068","0.54228200860165"
"36","ibr29","mort","0.000787257413388037","0.0000762787043812515","10.3208021134341","0.00000000000000000000538014905248997","0.54228200860165"
"37","ibr40","(Intercept)","0.0824704592331286","0.00670303682649226","12.303447134168","0.00000000000000000000000000188147147978109","0.587633541288952"
"38","ibr40","barr","0.0000430748481255852","0.00000282624848156032","15.2409982372832","0.000000000000000000000000000000000000201835495274336","0.587633541288952"
"39","ibr40","mort","0.000946221225132536","0.0000847874544468099","11.1599201946337","0.0000000000000000000000109884471434078","0.587633541288952"
"40","ibr41","(Intercept)","0.0676941025036895","0.0073880807448261","9.16260999869227","0.0000000000000000201786210291905","0.557994637264773"
"41","ibr41","barr","0.0000416697148191849","0.0000031150883587845","13.3767360728876","0.000000000000000000000000000000462393204218261","0.557994637264773"
"42","ibr41","mort","0.00109544890034356","0.0000934526507635351","11.7219671287376","0.00000000000000000000000015928001788691","0.557994637264773"
"43","ibr42","(Intercept)","0.0643211284880643","0.00708599530839892","9.07721861060583","0.000000000000000036379356810695","0.595477163470021"
"44","ibr42","barr","0.0000447093490922162","0.00000298771795517438","14.9643807625097","0.00000000000000000000000000000000000178783136247525","0.595477163470021"
"45","ibr42","mort","0.00107784428190266","0.0000896315386552315","12.0252792496243","0.0000000000000000000000000158324825334486","0.595477163470021"
"46","ibr43","(Intercept)","0.328813689451212","0.00796376355748714","41.2887307712792","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000732339590089241","-0.00310755028265719"
"47","ibr43","barr","-0.00000196887724589558","0.00000335781754516062","-0.586356232706326","0.558171611895296","-0.00310755028265719"
"48","ibr43","mort","0.0000947549168151008","0.000100734526354819","0.94063992003441","0.347808423660549","-0.00310755028265719"
"49","ibr44","(Intercept)","0.156681435936648","0.00665660013130728","23.5377569398745","0.0000000000000000000000000000000000000000000000000000000000000000481008780145264","0.469278458066584"
"50","ibr44","barr","0.0000291867426707885","0.00000280666905172092","10.3990681241497","0.00000000000000000000304152725839124","0.469278458066584"
"51","ibr44","mort","0.000899136808122804","0.0000842000715516277","10.6785753450517","0.000000000000000000000391648166355547","0.469278458066584"
"52","ibr45","(Intercept)","0.0270988836512","0.00831909892215943","3.25743015015932","0.00128195871991823","0.555300869505547"
"53","ibr45","barr","0.0000461061155376953","0.00000350764008990341","13.1444830016653","0.0000000000000000000000000000028227701197606","0.555300869505547"
"54","ibr45","mort","0.00124576311844033","0.000105229202697103","11.8385684440298","0.0000000000000000000000000656932026633929","0.555300869505547"
"55","ibr46","(Intercept)","0.0543886759212797","0.00728584808178635","7.46497529330102","0.00000000000142459228060123","0.598024254617459"
"56","ibr46","barr","0.0000429149806716073","0.00000307198328325515","13.9697962894295","0.00000000000000000000000000000000446849867983314","0.598024254617459"
"57","ibr46","mort","0.00122708962183744","0.0000921594984976545","13.314846997227","0.00000000000000000000000000000074916755924715","0.598024254617459"
"58","ibr47","(Intercept)","-0.000890844680853155","0.00859196515413034","-0.103683460637047","0.917504687949749","0.557660740579293"
"59","ibr47","barr","0.0000459997987393354","0.00000362269059518021","12.6976890603177","0.0000000000000000000000000000902386824798915","0.557660740579293"
"60","ibr47","mort","0.00135168861088603","0.000108680717855406","12.4372440443794","0.000000000000000000000000000672703424955034","0.557660740579293"
"61","ibr48","(Intercept)","0.10944296802443","0.00752806836923431","14.5379880543727","0.0000000000000000000000000000000000514144731727309","0.595144287661879"
"62","ibr48","barr","0.0000477222670136375","0.00000317411232376665","15.0348387661992","0.00000000000000000000000000000000000102584988296195","0.595144287661879"
"63","ibr48","mort","0.00113466767944623","0.0000952233697129995","11.9158530397116","0.0000000000000000000000000364775367031292","0.595144287661879"
"64","ibr49","(Intercept)","0.147048347724892","0.00654728128493602","22.4594516907683","0.000000000000000000000000000000000000000000000000000000000000130888918926759","0.479864230236519"
"65","ibr49","barr","0.0000274877486063003","0.00000276057617895889","9.95725052465926","0.0000000000000000000744420934619169","0.479864230236519"
"66","ibr49","mort","0.000953565876064729","0.0000828172853687669","11.5140924001398","0.000000000000000000000000767882718950294","0.479864230236519"
