"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.291158463114438,0.718171215179672,-0.0000193046566420828,-0.000755707504505156
"2","ibd1",0.422934693320558,0.696111170297238,-0.0000224421103088369,-0.000702684212914992
"3","ibr20",0.380163148440316,0.659465461205135,-0.0000234266843898024,-0.000456868479196386
"4","ibr21",0.413654243392243,0.670914083262843,-0.0000212510812655119,-0.000658074980963614
"5","ibr22",0.41673983559532,0.669849245111067,-0.0000228763062925962,-0.000625451725471512
"6","ibr23",0.368047855251344,0.636280503799139,-0.0000226234126712054,-0.000429435493584236
"7","ibr24",0.395350645712866,0.66233434935752,-0.0000238717075965945,-0.000533262498256973
"8","ibr25",0.352148514633223,0.666484084399521,-0.0000199972066658416,-0.000610089952359095
"9","ibr26",0.351279516444689,0.665269299661494,-0.0000207356375209452,-0.000644710908830018
"10","ibr27",0.374339628498857,0.668379731945955,-0.0000192261148056336,-0.00063913401090141
"11","ibr28",0.386831865087602,0.663137548665817,-0.0000208118732197038,-0.000652597370866862
"12","ibr29",0.290789002428251,0.659100083630856,-0.0000207267087599008,-0.000524836810274915
"13","ibr40",0.337265514859532,0.602841042093093,-0.0000240446224078156,-0.000555865656122186
"14","ibr41",0.321178240433179,0.607279181890698,-0.0000201861737186063,-0.000674653254629942
"15","ibr42",0.383919033104124,0.618464153839434,-0.0000237281406275145,-0.000660990535423396
"16","ibr43",-0.00511990148432839,0.427736307184482,-0.00000000395552917858677,-0.000066437988614025
"17","ibr44",0.394044120610174,0.582675312764251,-0.0000190129417261682,-0.000752921861654006
"18","ibr45",0.324237611495604,0.63674133855535,-0.0000216032739725163,-0.000748471800852926
"19","ibr46",0.370493452624038,0.624151700900965,-0.0000266538276089559,-0.000725426842511436
"20","ibr47",0.378578807599213,0.659630484020992,-0.0000254530504102873,-0.00081729998410294
"21","ibr48",0.469806322951665,0.592519715188572,-0.0000278839193066153,-0.000667246216471251
"22","ibr49",0.270389473674935,0.568512697624039,-0.0000180865217316121,-0.000539688915373042
