"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.789537397270717,0.431577059112811,-0.00008363507799505,-0.00305762810801789
"2","ibd1",0.695307824800755,0.0243343101214756,-0.00000679614521960379,-0.000138791868730014
"3","ibr20",0.697138413210756,0.0173606845196905,-0.00000484266902897885,-0.0000995435913503927
"4","ibr21",0.693828121226875,0.022006907010042,-0.00000615524629562701,-0.000125619869660647
"5","ibr22",0.69490329356974,0.0187961834247608,-0.00000526392321698112,-0.000107060005827278
"6","ibr23",0.696488044786426,0.0136707252148464,-0.00000380170612673083,-0.0000788627357590451
"7","ibr24",0.699939071694965,0.0226641471642734,-0.00000629035163181747,-0.000129835228628753
"8","ibr25",0.695310896490026,0.0240955907401307,-0.00000672283775539571,-0.000137631620411239
"9","ibr26",0.694266211861559,0.0204335758413268,-0.00000573234672887617,-0.000116129097923821
"10","ibr27",0.695115184726446,0.0244322541200396,-0.00000681805520592232,-0.000139571967232704
"11","ibr28",0.697846394796914,0.0194287809193117,-0.00000541356337583309,-0.000111111851143794
"12","ibr29",0.704847389161356,0.0187300852242816,-0.00000519149724524202,-0.000107356019556953
"13","ibr40",0.69538213937499,0.0121892621670503,-0.00000338283959996325,-0.0000701768650103736
"14","ibr41",0.693807702398999,0.0250713246832636,-0.00000702639145444143,-0.000142277507216814
"15","ibr42",0.689921827188528,0.0177963238336111,-0.00000502261813775002,-0.000100436207408361
"16","ibr43",0.485990054824489,0.00102366072797781,-0.00000025401137665442,-0.00000731702855221303
"17","ibr44",0.690336765295572,0.0237006114249341,-0.00000641529593912024,-0.000141626087743202
"18","ibr45",0.693381645255221,0.0293444089758118,-0.00000822898868413918,-0.000166707960329037
"19","ibr46",0.691673213853269,0.0215016329833975,-0.00000607204842693347,-0.000121005967426537
"20","ibr47",0.696085525627276,0.0313214524218667,-0.00000874176115232946,-0.000178719056612094
"21","ibr48",0.700380568397999,0.0200737077688748,-0.00000555677376277103,-0.000115762341563887
"22","ibr49",0.712143026733145,0.0177522568933401,-0.00000483602606607571,-0.000102847815226184
