"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.51974748847589,9.47451366086364,-0.000545767507176341,-0.0137215785886872
"2","ibd1",0.599349084328701,6.62308123027434,-0.000339426684699196,-0.00786196598267748
"3","ibr20",0.519252675294075,5.82389291543012,-0.000266304325987827,-0.00550609143186984
"4","ibr21",0.577761349811586,5.99409625901796,-0.000290597506374433,-0.00667098742778461
"5","ibr22",0.554698778107279,5.93554625346816,-0.00028370048467948,-0.00627458150408466
"6","ibr23",0.483802127902898,5.28872630497686,-0.000229532635759805,-0.00460688410586158
"7","ibr24",0.553346734571268,5.69952056760884,-0.000284371862436061,-0.00564692658979827
"8","ibr25",0.572515417727606,6.15647079192015,-0.000317741533011424,-0.00683199193641077
"9","ibr26",0.523491691298647,5.87682892441592,-0.000276961729905602,-0.00643141788708924
"10","ibr27",0.596061970876836,6.16757145772365,-0.000307743490103153,-0.00709349023283004
"11","ibr28",0.56849238712394,5.74161330978382,-0.00028536101957606,-0.00653996763097028
"12","ibr29",0.48956663082438,5.75422586222962,-0.000272914017153349,-0.00575771341234144
"13","ibr40",0.482374094653409,5.34514086740234,-0.000261871643230622,-0.00523314320762949
"14","ibr41",0.469183051268866,5.42138525074418,-0.000270451909063946,-0.00536736127466336
"15","ibr42",0.525089590092488,5.47588389989332,-0.000262828461929591,-0.00608218495790957
"16","ibr43",-0.00507412055873235,3.63237869764852,-0.00000464313737412226,0.000338217267423624
"17","ibr44",0.449897415367401,4.76455351608524,-0.000198819011780932,-0.00503725058695494
"18","ibr45",0.515922279244998,5.96974337814572,-0.000304675500960418,-0.00668910000096468
"19","ibr46",0.482441641877971,5.3940910780216,-0.000300876181804757,-0.00478155811635819
"20","ibr47",0.540742101617862,6.08990932955441,-0.000334925662320098,-0.00739829279045055
"21","ibr48",0.553435516333321,4.92914440543961,-0.000259692200499822,-0.00560340045273609
"22","ibr49",0.401382376633162,4.76996315497387,-0.000175561392191938,-0.00432844781167257
