"","land","predictor","coefficient","SE","t_val","p_val","adj_r2"
"1","pan0","(Intercept)","0.692849808103319","0.0290774983656951","23.8276965710615","0.00000000000000129151766599041","0.248810034827005"
"2","pan0","barr","-0.0000104986493224201","0.000013264299638155","-0.791496694798762","0.438424208542926","0.248810034827005"
"3","pan0","mort","-0.000823628312657934","0.000357815833555006","-2.30182187432832","0.0328297654697082","0.248810034827005"
"4","ibd1","(Intercept)","0.694715641846912","0.00533572613017878","130.200768348587","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132113733705292","0.441897718005458"
"5","ibd1","barr","-0.0000239301361099979","0.00000224973967229881","-10.6368467448262","0.000000000000000000000532519036113796","0.441897718005458"
"6","ibd1","mort","-0.00062594147053981","0.0000674921901689642","-9.27428001629208","0.00000000000000000929958459378296","0.441897718005458"
"7","ibr20","(Intercept)","0.66139278398504","0.00509543162471426","129.801130247161","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000279241484011159","0.405169458521341"
"8","ibr20","barr","-0.0000246320730234842","0.00000214842261276658","-11.465189798838","0.00000000000000000000000111044778369507","0.405169458521341"
"9","ibr20","mort","-0.000408428840982407","0.0000644526783829975","-6.33687926133028","0.00000000110332256184311","0.405169458521341"
"10","ibr21","(Intercept)","0.674620787582455","0.00508667525543767","132.625094723962","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147823122434712","0.453125995958375"
"11","ibr21","barr","-0.0000236644443207934","0.00000214473060330691","-11.0337607363394","0.0000000000000000000000281760339725952","0.453125995958375"
"12","ibr21","mort","-0.00059866079758553","0.0000643419180992074","-9.3043666597329","0.00000000000000000754221608861525","0.453125995958375"
"13","ibr22","(Intercept)","0.672820440521681","0.00512751746147028","131.217581525067","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198750340655242","0.452653589492246"
"14","ibr22","barr","-0.0000243685924600271","0.0000021619511894041","-11.2715738354592","0.00000000000000000000000476208623602971","0.452653589492246"
"15","ibr22","mort","-0.000583271778470137","0.0000648585356821231","-8.99298407427512","0.0000000000000000648975340456872","0.452653589492246"
"16","ibr23","(Intercept)","0.635760991526115","0.00507701706379301","125.22333164095","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173809191358998","0.359115387875242"
"17","ibr23","barr","-0.0000217983226932988","0.00000214065835215017","-10.1829993896054","0.0000000000000000000146279676247224","0.359115387875242"
"18","ibr23","mort","-0.000395001068761826","0.0000642197505645052","-6.15077239151013","0.00000000308423926107445","0.359115387875242"
"19","ibr24","(Intercept)","0.660554282239415","0.00539371276588579","122.467456260796","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000388623491666245","0.39872727010929"
"20","ibr24","barr","-0.0000252532024231611","0.00000227418898465675","-11.1042673205862","0.0000000000000000000000166539339592561","0.39872727010929"
"21","ibr24","mort","-0.00045161479775531","0.0000682256695397026","-6.61942639481905","0.000000000222778641116036","0.39872727010929"
"22","ibr25","(Intercept)","0.669015940003948","0.00550669863510543","121.491293483712","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000271659864188119","0.377693778447909"
"23","ibr25","barr","-0.0000218228313996152","0.00000232182801000982","-9.39898705051928","0.00000000000000000389533649953476","0.377693778447909"
"24","ibr25","mort","-0.000560639678776066","0.0000696548403002946","-8.0488258441057","0.0000000000000352473943601715","0.377693778447909"
"25","ibr26","(Intercept)","0.667437496377541","0.00576982366029143","115.677278141258","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000401681751225475","0.374353602296483"
"26","ibr26","barr","-0.0000219255065263384","0.00000243277126187341","-9.01256393067313","0.0000000000000000567411904450599","0.374353602296483"
"27","ibr26","mort","-0.00060958213938511","0.0000729831378562023","-8.3523695649557","0.00000000000000484465660920634","0.374353602296483"
"28","ibr27","(Intercept)","0.672168731274107","0.00522793491049544","128.572513388543","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282718729599016","0.400167417986409"
"29","ibr27","barr","-0.0000212304891228343","0.00000220429090350321","-9.63143707080284","0.000000000000000000758754030055305","0.400167417986409"
"30","ibr27","mort","-0.000574031061121818","0.0000661287271050965","-8.68050976105327","0.000000000000000542784698525859","0.400167417986409"
"31","ibr28","(Intercept)","0.665319398763375","0.00534946350293459","124.371238050021","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000091434945177683","0.420584392070778"
