"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.248810034827005,0.692849808103319,-0.0000104986493224201,-0.000823628312657934
"2","ibd1",0.441897718005458,0.694715641846912,-0.0000239301361099979,-0.00062594147053981
"3","ibr20",0.405169458521341,0.66139278398504,-0.0000246320730234842,-0.000408428840982407
"4","ibr21",0.453125995958375,0.674620787582455,-0.0000236644443207934,-0.00059866079758553
"5","ibr22",0.452653589492246,0.672820440521681,-0.0000243685924600271,-0.000583271778470137
"6","ibr23",0.359115387875242,0.635760991526115,-0.0000217983226932988,-0.000395001068761826
"7","ibr24",0.39872727010929,0.660554282239415,-0.0000252532024231611,-0.00045161479775531
"8","ibr25",0.377693778447909,0.669015940003948,-0.0000218228313996152,-0.000560639678776066
"9","ibr26",0.374353602296483,0.667437496377541,-0.0000219255065263384,-0.00060958213938511
"10","ibr27",0.400167417986409,0.672168731274107,-0.0000212304891228343,-0.000574031061121818
"11","ibr28",0.420584392070778,0.665319398763375,-0.0000224640191004559,-0.000618510011210813
"12","ibr29",0.319685396572207,0.661812141281253,-0.0000220984765206294,-0.000485641053590846
"13","ibr40",0.354106667682687,0.620546165702163,-0.0000259749431694529,-0.000531673713688203
"14","ibr41",0.32700518558397,0.620212221665642,-0.0000224980280599937,-0.000589183069083878
"15","ibr42",0.410152237743632,0.633315803930592,-0.0000260852218601775,-0.000615914275012596
"16","ibr43",-0.00498283453659876,0.440800699586105,0.000000580119410849812,-0.0000660815487369902
"17","ibr44",0.392700724277647,0.593894113688167,-0.0000192974719869322,-0.000703149774420671
"18","ibr45",0.321764877658117,0.648455877224949,-0.0000233178646584417,-0.000602642980037796
"19","ibr46",0.379059280600597,0.632670448934335,-0.0000284933475776535,-0.00062751127071761
"20","ibr47",0.397461008834455,0.664768767452383,-0.0000276543929305035,-0.000705028003509927
"21","ibr48",0.489346531733147,0.605105902637486,-0.0000288139890513374,-0.000595018002150993
"22","ibr49",0.238668840272444,0.574442221243638,-0.0000177616061235904,-0.000461632272535385
