"","land","adj_r2","(Intercept)","barr","mort"
"1","pan0",0.273082105730777,0.688584420858801,-0.00000680059458514446,-0.000921048252111219
"2","ibd1",0.42168784316441,0.696358709048642,-0.0000224410980300025,-0.000701650278914802
"3","ibr20",0.376491257519808,0.662823409334189,-0.0000231870810228071,-0.000459190107881358
"4","ibr21",0.415301897242196,0.675068840210208,-0.000021571185132262,-0.000659766804271263
"5","ibr22",0.418235962768027,0.673998034571787,-0.0000229871657146682,-0.000631210755889838
"6","ibr23",0.360492952998175,0.639082052320951,-0.0000221161508999788,-0.00043089791659923
"7","ibr24",0.395274667153605,0.663643011305009,-0.0000239840583610023,-0.000531822202101009
"8","ibr25",0.355230569435666,0.670635331884774,-0.0000202446155935782,-0.000620427588001415
"9","ibr26",0.345079088443149,0.667906513565239,-0.0000205180928197473,-0.000644894218056375
"10","ibr27",0.376408994129024,0.673322823012932,-0.000019498709496757,-0.000644189663249951
"11","ibr28",0.38996174739141,0.666471902518455,-0.0000211557305022487,-0.000657061048396733
"12","ibr29",0.290700718681603,0.662479231283165,-0.0000208186080012739,-0.000532264861483729
"13","ibr40",0.328399753260592,0.620789370969109,-0.0000243528367490716,-0.000566383396347306
"14","ibr41",0.317465574493023,0.619970068820608,-0.0000199861102107051,-0.00068737026683568
"15","ibr42",0.389159368014243,0.633791930303812,-0.000024487843590836,-0.000670599693694015
"16","ibr43",-0.00455259747473136,0.444418243122396,-0.000000214687407211404,-0.0000748928452708934
"17","ibr44",0.38278338010422,0.595569780881532,-0.0000184007832342656,-0.000758492939343788
"18","ibr45",0.306727093746721,0.648505835960023,-0.0000202863396926752,-0.000719483331905665
"19","ibr46",0.371248745781055,0.634449036064581,-0.0000269758661264058,-0.000725364807786106
"20","ibr47",0.375300972752266,0.66535505557037,-0.0000251213912965377,-0.000819073249902076
"21","ibr48",0.447934273420763,0.604999049543418,-0.0000274565441415357,-0.000635623015182907
"22","ibr49",0.250225643958728,0.577615989775551,-0.0000175818767587003,-0.000519886085450715
