"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","9.2","0.745881796875","0.59375","0.203298620926427","0.0311820652173913","0.175450329126358","0.519182125179969","0.117261932964235"
"ibd1","0000","000","0","9.3","0.7436640625","0.61725","0.172608897722584","0.0353897849462366","0.151072853220741","0.591152060423223","0.131081747200081"
"ibd1","0000","000","0","8.7","0.735436171875","0.587125","0.203862168272897","0.0382183908045977","0.1708726987712","0.602208571116854","0.135360629087555"
"ibd1","0000","000","0","8.8","0.689498125","0.574625","0.161495457270533","0.0490909090909091","0.150195928738623","0.229234417197928","0.0439745163705091"
"ibd1","0000","000","0","8.7","0.70637515625","0.589","0.164313899877561","0.0427586206896552","0.147768885002815","0.40061271217838","0.0797593518398474"
"ibd1","0000","000","0","8.5","0.676114453125","0.554875","0.1780303546731","0.0471470588235294","0.160853552448772","0.444798964312711","0.0912794892593781"
"ibd1","0000","000","0","9.5","0.735864921875","0.620875","0.154140078214483","0.0379078947368421","0.134869143140566","0.497720210010048","0.107726386547371"
"ibd1","0000","000","0","8.9","0.690291055308497","0.552816020025031","0.197115168705129","0.0396067415730337","0.178347360911451","0.368856236846307","0.0628612714114709"
"ibd1","0000","000","0","8.8","0.737265546875","0.556875","0.251703224734702","0.0283806818181818","0.219319917474566","0.75496384765632","0.174899340607639"
"ibd1","0000","000","0","9.5","0.7376977538446","0.608291457286432","0.178783419866017","0.0399342105263158","0.144900099619326","0.469536107063179","0.103274115440782"
