"land","barr","mort","mcrun","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"ibd1","0000","000","0","9","0.635654609375","0.620125","0.0247381657859637","0.106875","-2.81964767612219e-05","0.00115928824041735","0.000195449399268645"
"ibd1","0000","000","0","8.7","0.69656703125","0.692625","0.00306158530520823","0.110172413793103","-2.22095165809399e-05","0.00133658663250382","0.000473788101458429"
"ibd1","0000","000","0","8.6","0.68398421875","0.67125","0.0180164523210714","0.111816860465116","-0.00013607041080288","0.00319113151552602","0.00025238762788507"
"ibd1","0000","000","0","8.9","0.671186875","0.672875","-0.00428600210408739","0.108342696629213","-0.000166781681063988","0.00084915999374307","0.00018929513459404"
"ibd1","0000","000","0","9.4","0.72630421875","0.716625","0.0137852313785637","0.100904255319149","0.000281383246695133","0.000936474571028849","0.000818444131634074"
"ibd1","0000","000","0","8.2","0.632561015625","0.636125","-0.00722921920028692","0.118064024390244","-0.000182375355982423","0.000299580430174465","0.000190494090246093"
"ibd1","0000","000","0","8.8","0.68086546875","0.688125","-0.009585739616972","0.110127840909091","-0.000327975347786058","NaN","0.000267342573193269"
"ibd1","0000","000","0","8.9","0.72759359375","0.73825","-0.0154396629586492","0.107162921348315","8.47841265239069e-05","0.00130012285423472","0.000622472080765173"
"ibd1","0000","000","0","8.9","0.679583984375","0.678875","0.000957158025828864","0.107851123595506","0.000103570772648665","0.00126390977210994","0.000311778930462038"
"ibd1","0000","000","0","8.4","0.632422578125","0.63625","-0.0041180260121516","0.114419642857143","-4.61450815887332e-05","0.000186279889286078","0.000344262755552238"
