"","land","barr","mort","mcrun","meann","ngen","m"
"1","ibd1","0000","000","0","799.9","500","0.0387501603410099"
"2","ibd1","0000","000","1","800","500","0.0391624303545061"
"3","ibd1","0000","000","2","799.9","500","0.038648562205863"
"4","ibd1","0000","000","3","799.9","500","0.0386910035326523"
"5","ibd1","0000","000","4","799.9","500","0.038492638767991"
"6","ibd1","0000","000","5","799.9","500","0.0387534946594314"
"7","ibd1","0000","000","6","799.9","500","0.0384856784054189"
"8","ibd1","0000","000","7","799.9","500","0.0390831872606286"
"9","ibd1","0000","000","8","799.9","500","0.0386555855769462"
"10","ibd1","0000","000","9","799.9","500","0.0382539903814299"
"11","ibd1","0000","025","0","799.9","500","0.0302082257542979"
"12","ibd1","0000","025","1","799.9","500","0.0304123794848217"
"13","ibd1","0000","025","2","799.9","500","0.0307378028620545"
"14","ibd1","0000","025","3","799.9","500","0.0299394989646964"
"15","ibd1","0000","025","4","799.9","500","0.0305374604958162"
"16","ibd1","0000","025","5","799.9","500","0.0295783368206541"
"17","ibd1","0000","025","6","799.9","500","0.0299075839305282"
"18","ibd1","0000","025","7","799.9","500","0.0305596093428776"
"19","ibd1","0000","025","8","799.9","500","0.03013742030394"
"20","ibd1","0000","025","9","799.9","500","0.0302110919387828"
"21","ibd1","0000","050","0","799.9","500","0.0211387591316306"
"22","ibd1","0000","050","1","799.8","500","0.0208977503240456"
"23","ibd1","0000","050","2","799.9","500","0.0216005603226732"
"24","ibd1","0000","050","3","799.9","500","0.0212190609892734"
"25","ibd1","0000","050","4","799.8","500","0.0209899869952016"
"26","ibd1","0000","050","5","799.8","500","0.0209504335801783"
"27","ibd1","0000","050","6","799.8","500","0.0209690300946733"
"28","ibd1","0000","050","7","799.9","500","0.0212177959833732"
"29","ibd1","0000","050","8","799.8","500","0.0207298223818857"
"30","ibd1","0000","050","9","799.8","500","0.0210128651426741"
"31","ibd1","0000","075","0","799.4","500","0.0111279376709043"
"32","ibd1","0000","075","1","799.4","500","0.0108676969468002"
"33","ibd1","0000","075","2","799.4","500","0.0105101270387223"
"34","ibd1","0000","075","3","799.3","500","0.0106185778033878"
"35","ibd1","0000","075","4","799.4","500","0.0107831787402153"
"36","ibd1","0000","075","5","799.4","500","0.0109105436603957"
"37","ibd1","0000","075","6","799.5","500","0.0107365471866297"
"38","ibd1","0000","075","7","799.5","500","0.0107587082320281"
"39","ibd1","0000","075","8","799.4","500","0.0107883108939237"
"40","ibd1","0000","075","9","799.4","500","0.0108458716972226"
"41","ibd1","0000","100","0","797.7","500","0"
"42","ibd1","0000","100","1","798.1","500","0"
"43","ibd1","0000","100","2","797.7","500","0"
"44","ibd1","0000","100","3","797.8","500","0"
