"","land","barr","mort","mean","sd","meann","ngen"
"1","ibd1",0,0,0.0387,0.0003,800,500
"2","ibd1",0,25,0.0302,0.0004,800,500
"3","ibd1",0,50,0.0211,0.0002,800,500
"4","ibd1",0,75,0.0108,0.0002,799,500
"5","ibd1",0,100,0,0,798,500
"6","ibd1",750,0,0.0217,0.0002,800,500
"7","ibd1",750,25,0.0169,0.0003,800,500
"8","ibd1",750,50,0.0116,0.0002,800,500
"9","ibd1",750,75,0.006,0.0001,800,500
"10","ibd1",750,100,0,0,800,500
"11","ibd1",1500,0,0.0078,0.0001,800,500
"12","ibd1",1500,25,0.006,0.0001,800,500
"13","ibd1",1500,50,0.0041,0.0001,800,500
"14","ibd1",1500,75,0.0022,0.0001,800,500
"15","ibd1",1500,100,0,0,800,500
"16","ibd1",2250,0,0.0011,0.0001,800,500
"17","ibd1",2250,25,0.0009,0,800,500
"18","ibd1",2250,50,0.0006,0,800,500
"19","ibd1",2250,75,0.0003,0,800,500
"20","ibd1",2250,100,0,0,800,500
"21","ibd1",3000,0,0,0,800,500
"22","ibd1",3000,25,0,0,800,500
"23","ibd1",3000,50,0,0,800,500
"24","ibd1",3000,75,0,0,800,500
"25","ibd1",3000,100,0,0,800,500
"26","ibr20",0,0,0.0271,0.0002,798,500
"27","ibr20",0,25,0.0212,0.0002,797,500
"28","ibr20",0,50,0.0146,0.0003,796,500
"29","ibr20",0,75,0.0073,0.0001,794,500
"30","ibr20",0,100,0,0,789,500
"31","ibr20",750,0,0.0165,0.0002,798,500
"32","ibr20",750,25,0.0128,0.0001,797,500
"33","ibr20",750,50,0.0088,0.0001,796,500
"34","ibr20",750,75,0.0044,0.0001,795,500
"35","ibr20",750,100,0,0,794,500
"36","ibr20",1500,0,0.0055,0.0001,797,500
"37","ibr20",1500,25,0.0043,0.0001,797,500
"38","ibr20",1500,50,0.0029,0.0001,797,500
"39","ibr20",1500,75,0.0015,0.0001,796,500
"40","ibr20",1500,100,0,0,796,500
"41","ibr20",2250,0,0.0005,0,796,500
"42","ibr20",2250,25,0.0003,0,796,500
"43","ibr20",2250,50,0.0002,0,797,500
"44","ibr20",2250,75,0.0001,0,797,500
"45","ibr20",2250,100,0,0,796,500
"46","ibr20",3000,0,0,0,796,500
"47","ibr20",3000,25,0,0,796,500
"48","ibr20",3000,50,0,0,796,500
"49","ibr20",3000,75,0,0,796,500
"50","ibr20",3000,100,0,0,797,500
"51","ibr21",0,0,0.0351,0.0003,797,500
"52","ibr21",0,25,0.0272,0.0001,797,500
"53","ibr21",0,50,0.0189,0.0003,796,500
"54","ibr21",0,75,0.0097,0.0001,794,500
"55","ibr21",0,100,0,0,790,500
"56","ibr21",750,0,0.0199,0.0002,797,500
"57","ibr21",750,25,0.0154,0.0002,797,500
"58","ibr21",750,50,0.0105,0.0001,797,500
"59","ibr21",750,75,0.0055,0.0001,796,500
"60","ibr21",750,100,0,0,795,500
"61","ibr21",1500,0,0.007,0.0001,797,500
"62","ibr21",1500,25,0.0053,0.0001,797,500
"63","ibr21",1500,50,0.0037,0.0001,797,500
"64","ibr21",1500,75,0.0019,0.0001,796,500
"65","ibr21",1500,100,0,0,796,500
"66","ibr21",2250,0,0.0009,0,797,500
"67","ibr21",2250,25,0.0007,0,797,500
"68","ibr21",2250,50,0.0005,0,797,500
"69","ibr21",2250,75,0.0002,0,797,500
"70","ibr21",2250,100,0,0,797,500
"71","ibr21",3000,0,0,0,797,500
"72","ibr21",3000,25,0,0,797,500
"73","ibr21",3000,50,0,0,797,500
"74","ibr21",3000,75,0,0,797,500
"75","ibr21",3000,100,0,0,797,500
"76","ibr22",0,0,0.0296,0.0003,798,500
"77","ibr22",0,25,0.0232,0.0003,797,500
"78","ibr22",0,50,0.016,0.0002,797,500
"79","ibr22",0,75,0.0083,0.0002,795,500
"80","ibr22",0,100,0,0,793,500
"81","ibr22",750,0,0.0174,0.0001,797,500
"82","ibr22",750,25,0.0135,0.0002,797,500
"83","ibr22",750,50,0.0092,0.0001,797,500
"84","ibr22",750,75,0.0047,0.0001,796,500
"85","ibr22",750,100,0,0,795,500
"86","ibr22",1500,0,0.0058,0.0001,797,500
"87","ibr22",1500,25,0.0045,0.0001,797,500
"88","ibr22",1500,50,0.0031,0.0001,797,500
"89","ibr22",1500,75,0.0016,0.0001,797,500
"90","ibr22",1500,100,0,0,797,500
"91","ibr22",2250,0,0.0006,0,797,500
"92","ibr22",2250,25,0.0005,0,797,500
"93","ibr22",2250,50,0.0003,0,797,500
"94","ibr22",2250,75,0.0002,0,797,500
