"","x","y","land","barr","mort","lr","road","N","cost","A"
"44",-1.82748585610609,-1.26090240208601,"ibr40",-0.76394837224559,-0.767919455723426,"ibr40_0_0","0_0",-1.30975216780951,"-0.392311171551987",4.04
"45",-1.82748585610609,-1.26090240208601,"ibr40",-0.76394837224559,1.99604836461208,"ibr40_0_100","0_100",-1.30975216780951,"-0.392311171551987",3.17
"46",-1.82748585610609,-1.26090240208601,"ibr40",-0.76394837224559,1.30505640952821,"ibr40_0_75","0_75",-1.31676774270191,"-0.392311171551987",3.94
"47",-1.82748585610609,-1.26090240208601,"ibr40",-0.0725632275457418,-0.767919455723426,"ibr40_750_0","750_0",-1.30975216780951,"-0.392311171551987",4.2125
"48",-1.82748585610609,-1.26090240208601,"ibr40",-0.76394837224559,-0.0769275006395489,"ibr40_0_25","0_25",-1.32378331759432,"-0.392311171551987",3.9
"49",-1.82748585610609,-1.26090240208601,"ibr40",0.618821917154106,-0.767919455723426,"ibr40_1500_0","1500_0",-1.30975216780951,"-0.392311171551987",4.11111111111111
"50",-1.82748585610609,-1.26090240208601,"ibr40",1.31020706185395,-0.767919455723426,"ibr40_2250_0","2250_0",-1.31676774270191,"-0.392311171551987",3.41
"51",-1.82748585610609,-1.26090240208601,"ibr40",-0.76394837224559,0.614064454444328,"ibr40_0_50","0_50",-1.30975216780951,"-0.392311171551987",3.98888888888889
"52",-1.82748585610609,-1.26090240208601,"ibr40",2.0015922065538,-0.767919455723426,"ibr40_3000_0","3000_0",-1.32378331759432,"-0.392311171551987",3.25
"54",-1.82748585610609,-1.26090240208601,"ibr42",-0.0725632275457418,-0.767919455723426,"ibr42_750_0","750_0",-1.16944066996146,"-0.392311171551987",4.42222222222222
"55",-1.82748585610609,-1.26090240208601,"ibr42",2.0015922065538,-0.767919455723426,"ibr42_3000_0","3000_0",-1.16944066996146,"-0.392311171551987",3.77
"56",-1.82748585610609,-1.26090240208601,"ibr42",0.618821917154106,-0.767919455723426,"ibr42_1500_0","1500_0",-1.16944066996146,"-0.392311171551987",4.09
"57",-1.82748585610609,-1.26090240208601,"ibr42",-0.76394837224559,-0.767919455723426,"ibr42_0_0","0_0",-1.16944066996146,"-0.392311171551987",4.47
"58",-1.82748585610609,-1.26090240208601,"ibr42",-0.76394837224559,1.99604836461208,"ibr42_0_100","0_100",-1.16944066996146,"-0.392311171551987",3.66666666666667
"59",-1.82748585610609,-1.26090240208601,"ibr42",-0.76394837224559,0.614064454444328,"ibr42_0_50","0_50",-1.16944066996146,"-0.392311171551987",4
"60",-1.82748585610609,-1.26090240208601,"ibr42",-0.76394837224559,-0.0769275006395489,"ibr42_0_25","0_25",-1.16944066996146,"-0.392311171551987",4.2
"61",-1.82748585610609,-1.26090240208601,"ibr42",-0.76394837224559,1.30505640952821,"ibr42_0_75","0_75",-1.16944066996146,"-0.392311171551987",3.84
"62",-1.82748585610609,-1.26090240208601,"ibr42",1.31020706185395,-0.767919455723426,"ibr42_2250_0","2250_0",-1.17645624485387,"-0.392311171551987",3.86
"66",-1.82748585610609,-1.26090240208601,"ibr46",-0.0725632275457418,-0.767919455723426,"ibr46_750_0","750_0",-1.18347181974627,"-0.392311171551987",4.66
"67",-1.82748585610609,-1.26090240208601,"ibr46",-0.76394837224559,1.30505640952821,"ibr46_0_75","0_75",-1.16944066996146,"-0.392311171551987",4.34
"68",-1.82748585610609,-1.26090240208601,"ibr46",0.618821917154106,-0.767919455723426,"ibr46_1500_0","1500_0",-1.16944066996146,"-0.392311171551987",4.38
"69",-1.82748585610609,-1.26090240208601,"ibr46",-0.76394837224559,1.99604836461208,"ibr46_0_100","0_100",-1.16944066996146,"-0.392311171551987",3.91
"70",-1.82748585610609,-1.26090240208601,"ibr46",-0.76394837224559,-0.0769275006395489,"ibr46_0_25","0_25",-1.16944066996146,"-0.392311171551987",4.64
"71",-1.82748585610609,-1.26090240208601,"ibr46",-0.76394837224559,0.614064454444328,"ibr46_0_50","0_50",-1.16944066996146,"-0.392311171551987",4.48
"72",-1.82748585610609,-1.26090240208601,"ibr46",2.0015922065538,-0.767919455723426,"ibr46_3000_0","3000_0",-1.16944066996146,"-0.392311171551987",3.9
"73",-1.82748585610609,-1.26090240208601,"ibr46",1.31020706185395,-0.767919455723426,"ibr46_2250_0","2250_0",-1.16944066996146,"-0.392311171551987",4.37
"74",-1.82748585610609,-1.26090240208601,"ibr46",-0.76394837224559,-0.767919455723426,"ibr46_0_0","0_0",-1.16944066996146,"-0.392311171551987",4.28
"1124",-1.82748585610609,0.0563104735967024,"ibr42",-0.76394837224559,0.614064454444328,"ibr42_0_50","0_50",0.0232070617469571,"-0.392311171551987",4.81
"1125",-1.82748585610609,0.0563104735967024,"ibr42",-0.76394837224559,-0.767919455723426,"ibr42_0_0","0_0",0.0232070617469571,"-0.392311171551987",5.33
"1126",-1.82748585610609,0.0563104735967024,"ibr42",-0.0725632275457418,-0.767919455723426,"ibr42_750_0","750_0",0.0232070617469571,"-0.392311171551987",5.2
