"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"11","Am5.1",17,-2059.52534690316,0,1,0.999999999759242,1046.86643743937,0.999999999759242
"13","Am5.3",15,-2015.23088920485,44.2944576983073,2.40757996908088e-10,2.40757996850123e-10,1022.69677296569,1
"7","Am2.1",12,-1844.20520785668,215.320139046479,1.75317748540666e-47,1.75317748498457e-47,934.155413677832,1
"9","Am3.1",11,-1724.07333038646,335.452016516698,1.43720970682265e-73,1.43720970647663e-73,873.081335243992,1
"12","Am5.2",11,-1651.98848346868,407.536863434482,3.19517404086202e-89,3.19517404009275e-89,837.0389117851,1
"8","Am2.2",9,-1479.35984573151,580.165501171653,1.04390775828463e-126,1.0439077580333e-126,748.710359118712,1
"10","Am3.2",8,-1367.19651170583,692.328835197329,4.59942567958579e-151,4.59942567847845e-151,691.622596623706,1
"6","Am1.6",10,728.206385703506,2787.73173260666,0,0,-354.065980402497,1
"5","Am1.5",16,429.996623550553,2489.52197045371,0,0,-198.906108385446,1
"4","Am1.4",7,839.940412728429,2899.46575963159,0,0,-412.951281051609,1
"3","Am1.3",10,530.923340926969,2590.44868783013,0,0,-255.424458014229,1
"2","Am1.2",8,774.870124017094,2834.39547092025,0,0,-379.410721237756,1
"1","Am1.1",11,456.308515258673,2515.83386216183,0,0,-217.109587578575,1
