"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"11","Hem5.1",17,-16911.6483838552,0,1,0.999999999068329,8472.92795591538,0.999999999068329
"13","Hem5.3",15,-16870.0603014148,41.5880824404157,9.31671137559008e-10,9.31671136690997e-10,8450.11147907065,1
"7","Hem2.1",12,-16685.6784331165,225.969950738723,8.53588703823651e-50,8.53588703028387e-50,8354.89202630772,1
"12","Hem5.2",11,-16680.2674972237,231.380886631454,5.70530490420123e-51,5.70530489888576e-51,8351.17841866263,1
"9","Hem3.1",11,-16594.5746776046,317.073706250558,1.40708233045018e-69,1.40708232913924e-69,8308.33200885307,1
"8","Hem2.2",9,-16472.2196944171,439.428689438071,3.79553056876932e-96,3.79553056523314e-96,8245.14028346151,1
"10","Hem3.2",8,-16397.5551668755,514.093216979636,2.3231451263545e-112,2.32314512419009e-112,8206.80192420856,1
"6","Hem1.6",10,-14079.9732088748,2831.67517498043,0,0,7050.02381688663,1
"5","Hem1.5",16,-14203.2578742143,2708.39050964092,0,0,7117.72114049696,1
"4","Hem1.4",7,-13986.9795030071,2924.66888084812,0,0,7000.50867681613,1
"3","Hem1.3",10,-14115.9162605896,2795.73212326558,0,0,7067.99534274406,1
"2","Hem1.2",8,-14024.1959694854,2887.45241436979,0,0,7020.12232551349,1
"1","Hem1.1",11,-14163.9171197793,2747.73126407585,0,0,7093.00322994043,1
