"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"11","Hom5.1",17,-17226.4515525267,0,1,0.999999999999925,8630.32954025115,0.999999999999925
"13","Hom5.3",15,-17166.0164889444,60.435063582303,7.52822666006523e-14,7.52822666006467e-14,8598.08957283547,1
"12","Hom5.2",11,-17105.186580521,121.264972005691,4.65206640003988e-27,4.65206640003953e-27,8563.63796031127,1
"7","Hom2.1",12,-16966.9771989757,259.474353551039,4.5275163640706e-57,4.52751636407026e-57,8495.54140923733,1
"8","Hom2.2",9,-16825.0232265253,401.428326001409,6.77558142838655e-88,6.77558142838604e-88,8421.54204951561,1
"9","Hom3.1",11,-16812.4626103004,413.988942226333,1.26894678885598e-90,1.26894678885589e-90,8417.27597520095,1
"10","Hom3.2",8,-16694.6651481974,531.78640432933,3.34233151767974e-116,3.34233151767949e-116,8355.35691486948,1
"5","Hom1.5",16,-15978.8776071781,1247.57394534858,1.23811186186396e-271,1.23811186186387e-271,8005.5310069789,1
"1","Hom1.1",11,-15920.4941588509,1305.95739367579,2.59989113348464e-284,2.59989113348445e-284,7971.29174947623,1
"6","Hom1.6",10,-15868.6496140175,1357.80193850922,1.43567221011389e-295,1.43567221011378e-295,7944.362019458,1
"2","Hom1.2",8,-15793.8005520151,1432.65100051162,8.01286807134781e-312,8.01286807134781e-312,7904.92461677834,1
"3","Hom1.3",10,-15785.989510997,1440.46204152976,1.61302829729024e-313,1.61302829729024e-313,7903.03196794773,1
"4","Hom1.4",7,-15682.342280069,1544.10927245775,0,0,7848.19006534709,1
